,2021-04-20
548,899269416201924610
549,874339225
550,932043990932877312
551,304618226
552,98142161
553,1333901272819277825
554,2821684209
555,264425638
556,310849151
557,233346198
558,793514378981179392
559,4750151687
560,1376929107615825920
561,1213209090278604801
562,1379870741286555652
563,2875198029
564,134750800
565,1246754275696365568
566,831919854131277824
567,397318584
568,1352719920497356800
569,471568442
570,229523749
571,265228649
572,26684553
573,1357568799470284806
574,1343823624
575,1088841176076083201
576,3050774224
577,1356360881106522115
578,159399651
579,716899973888081920
580,1380439318787989507
581,4895263000
582,1003290811591725059
583,996953830343364608
584,1158410273449021441
585,74195366
586,1361675059660615684
587,1356559992506130435
588,380327237
589,1374264875346587650
590,1241054144674267143
591,3280493449
592,119400760
593,950314036847173632
594,1345227497793703938
595,1381313827975917577
596,1239498022398156800
597,2694537986
598,1329608334715052035
599,1001815739974717441
600,179939491
601,376147895
602,799454599
603,2235124310
604,1329978155440906242
605,399048469
606,366330859
607,1354332409727049731
608,899287239070494721
609,958319474855350272
610,2532242929
611,144199405
612,1334749407636557825
613,960356686446739457
614,945922328
615,1349082176126676992
616,1321451574
617,463609439
618,1377225061803958274
619,1259639875101491206
620,1253592834357297152
621,1245076915762933762
622,1341406040970174465
623,1169952949335814144
624,1289599611867475968
625,1381515667472584704
626,1378387655356989441
627,1370148927144488962
628,846715778623778817
629,2195367253
630,1377189540062928896
631,18239914
632,1357806878550618114
633,49286634
634,1380187243508285441
635,2267792580
636,1319306596841869312
637,1282192745952473088
638,1376404697658064902
639,323640827
640,1359386038234275842
641,747883503228977152
642,944626044241408000
643,634070015
644,1381391410805538818
645,1357106681407225856
646,1381373678756188160
647,1362411488129019905
648,713268699
649,822914530221162496
650,32093558
651,1380621352625930243
652,809995234935336960
653,1372880239962025987
654,600527067
655,500132668
656,833628611928289280
657,352350352
658,1368301828295770118
659,2371208908
660,2176715676
661,1362525544370290696
662,1366315862953705472
663,1329172294497951745
664,1153848319841456130
665,1381321307288141828
666,97876891
667,195419335
668,2916378927
669,1355771772503810050
670,1381304118942269440
671,2716313964
672,1381302745974595589
673,132767616
674,34946824
675,867866388026634241
676,1287262017246519296
677,1381281348992778245
678,840547748738936832
679,939579189899997184
680,4780625904
681,1106954859809591298
682,1105145228250406912
683,35545000
684,1201780820249337856
685,1235169336756760577
686,57648821
687,1380507426839879682
688,1381224150484840448
689,1163380858465558528
690,945290192545550336
691,1378357288520581125
692,1380950432688828425
693,2322170130
694,1286741550
695,904297946388152320
696,1374684923068489728
697,1150139645092610048
698,1240948411794444292
699,2242751317
700,299145430
701,214497622
702,778948275823112192
703,2205886141
704,2776453256
705,1305558772191047682
706,1376280573564620800
707,1313756800605446145
708,1381140816140337154
709,1354847321046065157
710,24846824
711,1381141618493952003
712,68982902
713,1374675136742371329
714,51123878
715,1049779372067049472
716,753706919097806848
717,897732942
718,125367184
719,557316040
720,255018808
721,2673578216
722,750429768
723,188743027
724,1348238308166537217
725,1366468520133881856
726,945228090921271297
727,1373443650546331651
728,870875940
729,1348266505801068545
730,3145086105
731,961224187657539590
732,1381023190336425986
733,1360599510137917441
734,1030719881086464001
735,896414606339567620
736,1380993945543577600
737,180423534
738,1375518375040942087
739,260535052
740,1378101919365922819
741,1341740240063619072
742,3352532224
743,1367835373141815298
744,1373302737069309952
745,1257037246257147904
746,1132320858003976192
747,1329121088580833281
748,877504848937312257
749,1247497088683986945
750,91388613
751,960907530
752,1375740291538321409
753,245714998
754,1334266140156157952
755,1380915840900456448
756,1181236243608358912
757,1126230527663538184
758,1378711237475844101
759,447577561
760,39735379
761,1622683784
762,186043940
763,367538316
764,1364270804544999444
765,896372275376779266
766,907208044668485633
767,1380870066871361543
768,1189263728883175426
769,4204675953
770,988709436100415488
771,3128094075
772,2427011224
773,438256133
774,1146996462
775,225815128
776,1355743406505472000
777,24885011
778,1350418137062252544
779,1092820546197307392
780,262043189
781,954499273743388673
782,1379878868589350912
783,725277238745305088
784,1352586186955616259
785,306603333
786,227346537
787,16177617
788,3040879711
789,801086587320860672
790,994206619557867520
791,1144590139064107010
792,1380851387119104000
793,11457362
794,1222430616559419400
795,1246375152809541632
796,191742234
797,1380547987785519106
798,1361679378325909504
799,1347171959499460612
800,1375027712541200390
801,953883555364564992
802,27834221
803,4834064769
804,1345845170978349059
805,1057823058365427712
806,979402413764300800
807,1245503554422362113
808,101445111
809,1380773676614836228
810,1373282936506695688
811,357723093
812,125479341
813,1262242020958986240
814,632661733
815,890518612280098816
816,1333176611315740672
817,22891926
818,1368333061570453504
819,2280859560
820,85213650
821,1273030930085666816
822,1380696139775705088
823,1373988146271096837
824,18702926
825,1380688082148716544
826,1318766307865624576
827,82331483
828,2964747207
829,15685290
830,1288218244751470592
831,74133923
832,1298535094303567872
833,338662756
834,2743062291
835,1376277105437143040
836,1380649510439821312
837,255057784
838,1173303404094996481
839,1380401145772916736
840,1380617516880379904
841,1370559481906524160
842,194172031
843,13960852
844,1335650076358668293
845,1345711610460045312
846,1620963546
847,1354406846233239558
848,919276199976857600
849,1353931927263318016
850,2266881498
851,945310157923237888
852,1378636731625443332
853,75276372
854,1100814439
855,3700421780
856,1298701418086502403
857,3241141121
858,913587271399481345
859,1380487125133574146
860,1380526835038101504
861,1239250680826617856
862,1380521996346343428
863,1041623826247802880
864,1311903188753149952
865,1355152858300248066
866,1378605592617447434
867,1380251084426448900
868,1324277104251269121
869,1357624895279136772
870,1367272016076812289
871,1380457284451639298
872,950373861211729922
873,1370874792572723203
874,811377533308452865
875,1374036443987775488
876,1362304791133749250
877,360155876
878,915111
879,445885830
880,171654771
881,507234885
882,1366176303779471361
883,1195976779480981504
884,1117830803273154561
885,1371847372926509076
886,1245642403
887,1380249775048646659
888,311365367
889,1373008338699554819
890,1242482603577532416
891,749461340352380928
892,1355512052647776258
893,1359225783437430791
894,2816622835
895,1373718048406958087
896,954775399
897,4407142935
898,1280010041660243968
899,1192419796857450496
900,49860101
901,1209593272563359745
902,344788685
903,1117806956943761408
904,3058838270
905,1379793295463776262
906,1364994504193884162
907,897383621392297984
908,1190654684526190593
909,1230926526075592705
910,156634272
911,1946521903
912,1157059054209884160
913,801133117
914,917873600597721090
915,1120340068378533889
916,2742908283
917,1379385025163108353
918,1356962006650277888
919,1238185696961212416
920,301499658
921,1351288604325277696
922,1380061520026025990
923,47346631
924,1359396060821475328
925,1268429003964264450
926,1373656185744863232
927,223885410
928,303653017
929,1307851343315435521
930,954260910654218240
931,335560008
932,922219130048208896
933,1374538008402214914
934,1244423257312202754
935,942147663671255046
936,780244381240397824
937,3920828963
938,932518316425359360
939,535662615
940,272919843
941,1047108535480410112
942,2206990651
943,1377097988569407489
944,2460100075
945,2815573171
946,17933184
947,1094207603754835968
948,1378700289516142594
949,1341357212959199233
950,1357612505795866625
951,1094565642785705986
952,1355823405904367618
953,799327953846931457
954,1379148706608467969
955,838381650
956,1294543415976263681
957,1112818246196125696
958,1042125512527826944
959,1366864594770214912
960,852398135015989249
961,702630345804480512
962,1353054643119525888
963,1357619762600230912
964,776551144999022593
965,1343291958693941251
966,209442370
967,289977232
968,180423243
969,314761441
970,204479060
971,1379843283837452291
972,1337092667222732803
973,617020336
974,1363281149053837319
975,1379536473960165378
976,1216069559142187008
977,1379822502168252420
978,1379817910739296256
979,1379039703698178052
980,1253468211242315783
981,1354972248143237125
982,1074583137437540352
983,1163064511642779654
984,1225430988983087104
985,1367758719837114375
986,1203019845752803329
987,2306389055
988,2201637733
989,1225247103779299329
990,1344854941429501959
