,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
2021-04-29 01:00,1411513.05282275,1297819.72965145,829851.16740877,0.0,4416284.53745369,668661.86026848,0.0,0.0,0.0,0.0,2277075.72253633,905632.47744347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286743.23196176,55890.29480485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194828.66419788,107119.40862676,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132807.80702146,88629.85804882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141584.34871978,519323.20929158
2021-04-30 01:00,1481719.43169547,1309228.65146914,958845.03160655,0.0,4418065.82321419,724978.92491236,0.0,0.0,0.0,0.0,2287499.37162689,939345.52036718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286812.59800624,57466.11594421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196124.05665234,106280.69767226,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135335.20294382,89309.72338261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150229.03247955,526710.2026969
2021-05-01 01:00,0.0,1458562.57116444,1313585.85866261,965307.35643933,0.0,4458987.54402507,729109.78819872,0.0,0.0,0.0,0.0,996773.07448495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296805.45866778,58786.34804912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195698.46285899,109634.89952753,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93719.88478185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550873.25859622
2021-05-02 01:00,1427993.91858793,1369141.23193557,1020470.52292012,0.0,4488399.49559602,0.0,46926.26080702,0.0,0.0,0.0,2310804.13186702,1010318.81935536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296897.67028621,60226.13490023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196706.32822836,110831.49610576,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135182.84611296,94664.11827514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166080.76372438,576242.6923874
2021-05-03 01:00,1322883.30450034,1359322.71486367,1028176.56999694,0.0,4494398.05220094,726261.95798419,48752.70082648,0.0,0.0,0.0,2322541.9200308,1059076.13022498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298007.99519431,69307.36753359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197886.94877078,112847.44093431,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154826.53961498,99746.83443123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1169066.07609946,596849.29519967
2021-05-04 01:00,1308392.64139205,1364008.65952584,1139999.35377954,0.0,4505166.90519724,759610.49075925,38430.07253841,0.0,0.0,0.0,2338197.46047586,1083761.53810685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298482.38266027,70050.88016606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223582.84701201,118398.19209296,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154987.98538621,115302.08028338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196213.4722308,616057.88183855
2021-05-05 01:00,1319527.2858849,1358767.92709769,1169983.08866039,0.0,4507150.34158312,799598.61778533,24036.25391766,0.0,0.0,0.0,2362399.11024069,1114109.54467378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299706.15782184,73329.39040944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234239.02596018,111616.59054744,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155155.29926195,122786.79611422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196824.08770795,652494.10278822
2021-05-06 01:00,1307640.52296049,1564522.56667811,1232396.80780415,0.0,4520824.04727786,801064.30112939,45852.31884349,0.0,0.0,0.0,2369776.97788922,1134328.22724634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299796.39251983,77442.55891784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234848.77183422,113446.77176971,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156432.59998869,125746.7113708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1206719.92439471,693273.13897966
2021-05-07 01:00,1489987.09530558,1378542.54156952,1275689.41946883,0.0,4531845.54744689,850421.8749793,44465.52160445,0.0,0.0,0.0,2423266.10295197,1130128.92958542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299949.52196953,77975.54371693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235470.49304976,116783.86496228,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156561.83132224,126561.41938332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208175.25122237,828483.52943371
2021-05-08 01:00,1506785.25996046,1546904.90435205,1184266.75729698,0.0,4538315.02964442,878828.75982331,38142.43214455,0.0,0.0,0.0,2430618.83428736,1266982.28346647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300460.06212004,77784.09632549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235509.21319883,124766.04389869,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156647.74275872,128444.55093297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362155.31212922,702886.00177724
2021-05-09 01:01,1516854.50632426,1595448.39910119,1167397.80484876,0.0,4554596.26889422,896270.39000273,155147.68793934,0.0,0.0,1008430.98594109,1443987.67390745,1299925.0949064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197834.73722253,102925.32489751,79600.2106303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40667.45790257,194910.78799986,126485.9354255,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32244.97203217,124945.60937745,128458.28158317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522103.83985054,842296.11338859,756685.64763345
2021-05-10 01:00,2016255.49818048,1135418.04912641,1139166.95812677,2712124.23117193,1878557.10962152,1016006.47073583,22583.34338981,0.0,0.0,1242086.83953774,1253606.1245342,1291636.40288414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216744.33896391,84159.26170053,80363.73524688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78888.16859521,158323.55395003,130068.12898819,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53480.46427107,104024.57579692,129453.45434599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758770.27180202,620679.22347003,766468.30920095
