,DFIPrices,DFIPricesBittrex,Time,commission,customRewards,idTokenA,idTokenB,reserveA,reserveA/reserveB,reserveB,reserveB/reserveA,symbol,totalLiquidity,rewardLoanPct
80,0.0038660827437958,,2021-10-23 20:39:01.044059,0.002,,11.0,0.0,2744.59132729,0.00389206,705176.17658686,256.93303391,BCH-DFI,43664.6782682,
81,2.41005543127492,,2021-10-23 20:39:01.044059,0.002,,13.0,0.0,3026993.17884033,2.43034705,1245498.32234622,0.41146386,USDC-DFI,1923708.0198975,
82,0.00058938,,2021-10-23 20:40:00.656058,0.002,,1.0,0.0,7854.38183458,0.00059704,13155425.44978782,1674.91544552,ETH-DFI,321265.23228247,
83,3.947e-05,3.919e-05,2021-10-23 20:40:00.656058,0.002,,2.0,0.0,2326.23943854,3.967e-05,58637384.61162869,25206.94286243,BTC-DFI,369302.67554257,
84,2.41,2.4034,2021-10-23 20:40:00.656058,0.002,,3.0,0.0,5526101.45452793,2.43147756,2272733.88555777,0.41127255,USDT-DFI,3534641.3728399,
85,9.729197280669176,,2021-10-23 20:40:00.656058,0.002,,7.0,0.0,2393851.41120399,9.84407361,243176.91084763,0.10158396,DOGE-DFI,750690.67112493,
86,0.012352639671963,,2021-10-23 20:40:00.656058,0.002,,9.0,0.0,18801.07527232,0.01247894,1506623.37538768,80.13495789,LTC-DFI,164813.05608893,
87,0.0038660827437958,,2021-10-23 20:40:00.656058,0.002,,11.0,0.0,2744.59132729,0.00389206,705176.17658686,256.93303391,BCH-DFI,43664.6782682,
88,2.4101590704986533,,2021-10-23 20:40:00.656058,0.002,,13.0,0.0,3026993.17884033,2.43034705,1245498.32234622,0.41146386,USDC-DFI,1923708.0198975,
89,0.00058938,,2021-10-23 20:41:00.936061,0.002,,1.0,0.0,7854.38183458,0.00059704,13155425.44978782,1674.91544552,ETH-DFI,321265.23228247,
90,3.947e-05,3.919e-05,2021-10-23 20:41:00.936061,0.002,,2.0,0.0,2326.23943854,3.967e-05,58637384.61162869,25206.94286243,BTC-DFI,369302.67554257,
91,2.41,2.4034,2021-10-23 20:41:00.936061,0.002,,3.0,0.0,5526101.45452793,2.43147756,2272733.88555777,0.41127255,USDT-DFI,3534641.3728399,
92,9.729197280669176,,2021-10-23 20:41:00.936061,0.002,,7.0,0.0,2393851.41120399,9.84407361,243176.91084763,0.10158396,DOGE-DFI,750690.67112493,
93,0.012352639671963,,2021-10-23 20:41:00.936061,0.002,,9.0,0.0,18801.07527232,0.01247894,1506623.37538768,80.13495789,LTC-DFI,164813.05608893,
94,0.0038660827437958,,2021-10-23 20:41:00.936061,0.002,,11.0,0.0,2744.59132729,0.00389206,705176.17658686,256.93303391,BCH-DFI,43664.6782682,
95,2.4101590704986533,,2021-10-23 20:41:00.936061,0.002,,13.0,0.0,3026993.17884033,2.43034705,1245498.32234622,0.41146386,USDC-DFI,1923708.0198975,
96,0.00058938,,2021-10-23 20:42:00.378809,0.002,,1.0,0.0,7854.38183458,0.00059704,13155425.44978782,1674.91544552,ETH-DFI,321265.23228247,
97,3.947e-05,3.919e-05,2021-10-23 20:42:00.378809,0.002,,2.0,0.0,2326.23943854,3.967e-05,58637384.61162869,25206.94286243,BTC-DFI,369302.67554257,
98,2.41,2.4034,2021-10-23 20:42:00.378809,0.002,,3.0,0.0,5526101.45452793,2.43147756,2272733.88555777,0.41127255,USDT-DFI,3534641.3728399,
99,9.73088647972059,,2021-10-23 20:42:00.378809,0.002,,7.0,0.0,2393851.41120399,9.84407361,243176.91084763,0.10158396,DOGE-DFI,750690.67112493,
100,0.0123532728484289,,2021-10-23 20:42:00.378809,0.002,,9.0,0.0,18801.07527232,0.01247894,1506623.37538768,80.13495789,LTC-DFI,164813.05608893,
101,0.0038664548940334,,2021-10-23 20:42:00.378809,0.002,,11.0,0.0,2744.59132729,0.00389206,705176.17658686,256.93303391,BCH-DFI,43664.6782682,
102,2.4102386136227487,,2021-10-23 20:42:00.378809,0.002,,13.0,0.0,3026993.17884033,2.43034705,1245498.32234622,0.41146386,USDC-DFI,1923708.0198975,
103,0.00058938,,2021-10-23 20:43:00.836057,0.002,,1.0,0.0,7854.38183458,0.00059704,13155425.44978782,1674.91544552,ETH-DFI,321265.23228247,
104,3.947e-05,3.919e-05,2021-10-23 20:43:00.836057,0.002,,2.0,0.0,2326.23943854,3.967e-05,58637384.61162869,25206.94286243,BTC-DFI,369302.67554257,
105,2.41,2.4034,2021-10-23 20:43:00.836057,0.002,,3.0,0.0,5526101.45452793,2.43147756,2272733.88555777,0.41127255,USDT-DFI,3534641.3728399,
106,9.7323404461531,,2021-10-23 20:43:00.836057,0.002,,7.0,0.0,2393851.41120399,9.84407361,243176.91084763,0.10158396,DOGE-DFI,750690.67112493,
107,0.0123532728484289,,2021-10-23 20:43:00.836057,0.002,,9.0,0.0,18801.07527232,0.01247894,1506623.37538768,80.13495789,LTC-DFI,164813.05608893,
108,0.0038721079691516,,2021-10-23 20:43:00.836057,0.002,,11.0,0.0,2744.59132729,0.00389206,705176.17658686,256.93303391,BCH-DFI,43664.6782682,
109,2.4102386136227487,,2021-10-23 20:43:00.836057,0.002,,13.0,0.0,3026993.17884033,2.43034705,1245498.32234622,0.41146386,USDC-DFI,1923708.0198975,
110,0.00058938,,2021-10-23 20:44:00.236054,0.002,,1.0,0.0,7854.38183458,0.00059704,13155425.44978782,1674.91544552,ETH-DFI,321265.23228247,
111,3.947e-05,3.919e-05,2021-10-23 20:44:00.236054,0.002,,2.0,0.0,2326.23943854,3.967e-05,58637384.61162869,25206.94286243,BTC-DFI,369302.67554257,
