,ownerAuthAddress,operatorAuthAddress,creationHeight,resignHeight,resignTx,banTx,state,mintedBlocks,ownerIsMine,operatorIsMine,localMasternode,targetMultiplier
7baf5daacd7233a3af3204a2def7c7d0908de01d4a20ab34c39d11a2afd7707c,8UWpxcs7poXpSg3bizaGTQJVxAhtpy1UYf,8UWpxcs7poXpSg3bizaGTQJVxAhtpy1UYf,1023232,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,4
2b151bfa87f71078a2be56e936cb5f8843ab76d91c639314c7aa6bfedb2201a9,8HK8R6zRxgyD1X1fC9Yq4kcTS8hn8GXsfV,8HK8R6zRxgyD1X1fC9Yq4kcTS8hn8GXsfV,1023214,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,2,False,False,False,4
6dcfa9ccb5b7e581cbe18972f170d50268425f5f07b92f9e72d16bcc51578ccb,8L121FTQoRn6Rmgjig51PXtC3A8hwqBXV1,8L121FTQoRn6Rmgjig51PXtC3A8hwqBXV1,1023204,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,3,False,False,False,6
3d39c46e4fd0496c92d27f814d4eed3afd5ad20d17bc9b11d05366b26803248b,8Rw9SaSf38FW1bFrdguAogRK8fqL5RKyJu,8TYeG6Zv1wGAFJw1uruxCAfgaL64RTRACp,1017817,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,3,False,False,False,2
b8a6683615606402389e18f58974d32161cccdc81376003577e5a7a1d094daf8,8NioFtW5zCx2uRrcdMupzmqgsUhuDwjz2Y,8a7nBZhASjt51GTnPsqSNZsipgvN8KrmUE,1013490,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,4,False,False,False,5
b16435adffee4424b8f5d9674574c4e472585702c31de77a60e1a3f8e1cebc9f,8dgJGtufmtVi4AfW49SG2TugFvMUXbxF8F,8J2TAZ8DMJ3Ac1frWbQySPJhUikLf2BZD1,1013421,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,4,False,False,False,6
9442007b9dc27b6d4b54bf6b4e27c7e4a3bf26a006273eb461524dbf4eeaa50b,8ZYCxUfxkJYCpMa83i7nbnWvuhDWvZhg5T,8LJU8M8yQjhnnPyscFgRiN1E2jQyPrpKmG,1012440,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,6,False,False,False,2
674d962f477c6d849b117448faed889305c2ac1efa6579d1bb25ce8f22f335f2,8V1ayb2ws24CRvJjiFFH4w9vcgnG7en2CE,8TPPMFBZojPhEJds8pwavz5UNRunBXC6jX,1009828,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,7,False,False,False,7
a27e8bc8d72cea230ae79554e847d27306255af6d5971e1946c9335eda65c993,8TsUn5pCqEzMnc8XXwwyA9t3RTULBzvUJL,8cCawuu7EAyg1Axpn4gY638fKLxt33pDAX,1004508,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,7,False,False,False,1
ddb90f32cc1156b45991cfae6fd82634d841c0ee792ab94876b498a71f9f3aaf,8GRpnz1yJzBLVMa2AaJsvpgP2RzCFEagCs,8TWeQiDXMopjrtRmsqcYrBBfyvUJ3Dd7ri,1002950,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,5,False,False,False,9
