,amount,cloud,ticker
2021-09-07,2,0.0,DFI
2021-09-08,2,0.0,DFI
2021-09-09,2,0.0,DFI
2021-09-10,2,0.0,DFI
2021-09-11,2,0.0,DFI
2021-09-12,2,0.0,DFI
2021-09-13,2,0.0,DFI
2021-09-14,2,0.0,DFI
2021-09-15,2,0.0,DFI
2021-09-16,2,0.0,DFI
2021-09-17,2,0.0,DFI
2021-09-18,2,0.0,DFI
2021-09-19,2,0.0,DFI
2021-09-20,2,0.0,DFI
2021-09-21,2,0.0,DFI
2021-09-22,2,0.0,DFI
2021-09-23,2,0.0,DFI
2021-09-24,2,0.0,DFI
2021-10-02,2,0.0,DFI
2021-10-03,2,0.0,DFI
2021-10-04,2,0.0,DFI
2021-10-05,2,0.0,DFI
2021-10-06,2,0.0,DFI
2021-10-07,2,0.0,DFI
2021-10-08,2,0.0,DFI
2021-10-09,2,0.0,DFI
2021-10-10,2,0.0,DFI
2021-10-11,2,0.0,DFI
2021-10-12,2,0.0,DFI
2021-10-13,2,0.0,DFI
2021-10-14,2,0.0,DFI
2021-10-15,2,0.0,DFI
2021-10-19,2,0.0,DFI
2021-10-20,2,0.0,DFI
2021-10-21,2,0.0,DFI
2021-10-22,2,0.0,DFI
2021-10-23,2,0.0,DFI
2021-10-24,2,0.0,DFI
2021-10-25,2,0.0,DFI
2021-10-26,2,0.0,DFI
2021-10-27,2,0.0,DFI
2021-10-28,2,0.0,DFI
2021-10-29,2,0.0,DFI
2021-10-30,2,0.0,DFI
2021-10-31,2,0.0,DFI
2021-11-01,2,0.0,DFI
2021-11-02,1,0.0,DFI
2021-11-03,2,0.0,DFI
2021-11-04,3,0.0,DFI
2021-11-05,3,0.0,DFI
2021-11-10,4,0.0,DFI
2021-11-11,3,0.0,DFI
2021-11-12,4,0.0,DFI
2021-11-13,4,0.0,DFI
2021-11-14,4,0.0,DFI
2021-11-15,4,0.0,DFI
2021-11-16,4,0.0,DFI
2021-11-17,4,0.0,DFI
2021-11-18,5,0.0,DFI
2021-11-19,5,0.0,DFI
2021-11-20,5,0.0,DFI
2021-11-21,5,0.0,DFI
2021-11-22,5,0.0,DFI
2021-11-23,5,0.0,DFI
2021-11-24,5,0.0,DFI
2021-11-25,5,0.0,DFI
2021-11-26,5,0.0,DFI
2021-11-27,5,0.0,DFI
2021-11-28,5,0.0,DFI
2021-11-29,5,0.0,DFI
2021-11-30,5,0.0,DFI
2021-12-01,5,0.0,DFI
2021-12-02,5,0.0,DFI
2021-12-03,5,0.0,DFI
2021-12-04,5,0.0,DFI
