,DFIPrices,DFIPricesBittrex,Time,commission,customRewards,idTokenA,idTokenB,numberAddresses,reserveA,reserveA/reserveB,reserveB,reserveB/reserveA,symbol,totalLiquidity
106,2.583e-05,,2020-12-14 05:03:01.288633,0.002,,2.0,0.0,,200.52925944,2.52e-05,7956565.63653341,39677.82885526,BTC-DFI,39960.65643798
107,0.493446,,2020-12-14 05:03:01.288633,0.002,,3.0,0.0,,250677.9481921,0.51327833,488385.9868954,1.94826066,USDT-DFI,350133.88281995
108,0.00085748,,2020-12-14 06:02:22.910897,0.002,,1.0,0.0,,1026.76850031,0.00093148,1102288.06811642,1073.55072519,ETH-DFI,33648.42006018
109,2.628e-05,,2020-12-14 06:02:22.910897,0.002,,2.0,0.0,,200.70500432,2.527e-05,7941465.00858611,39567.84752573,BTC-DFI,39940.20851605
110,0.5015189999999999,,2020-12-14 06:02:22.910897,0.002,,3.0,0.0,,251071.31823999,0.50980271,492487.20911051,1.96154308,USDT-DFI,351876.69663434
111,0.00085326,,2020-12-14 07:01:58.104722,0.002,,1.0,0.0,,1038.92607639,0.00091873,1130816.29774867,1088.44731444,ETH-DFI,34280.68910368
112,2.616e-05,,2020-12-14 07:01:58.104722,0.002,,2.0,0.0,,201.44125015,2.531e-05,7955881.44670663,39494.79781714,BTC-DFI,40049.7001975
113,0.5009680000000001,,2020-12-14 07:01:58.104722,0.002,,3.0,0.0,,253055.95211852,0.52034927,486319.40708475,1.92178608,USDT-DFI,351045.61774003
114,0.0008749,,2020-12-14 08:02:07.313860,0.002,,1.0,0.0,,1034.74772072,0.0009113,1135457.18073227,1097.3275494999998,ETH-DFI,34281.81526112
115,2.68e-05,,2020-12-14 08:02:07.313860,0.002,,2.0,0.0,,202.47165265,2.548e-05,7946045.72312768,39245.22578409,BTC-DFI,40127.16888616
116,0.513319,,2020-12-14 08:02:07.313860,0.002,,3.0,0.0,,252406.28073433,0.51767669,487575.12756667,1.93170758,USDT-DFI,351047.04959731
117,0.00086538,,2020-12-14 09:02:08.251440,0.002,,1.0,0.0,,1025.16120413,0.0008893999999999,1152634.08137476,1124.34422677,ETH-DFI,34379.77262405
118,2.649e-05,,2020-12-14 09:02:08.251440,0.002,,2.0,0.0,,203.3161845,2.567e-05,7918062.33446857,38944.57469748,BTC-DFI,40139.90131625
119,0.509458,,2020-12-14 09:02:08.251440,0.002,,3.0,0.0,,252389.65779975,0.51760851,487607.24033045,1.93196204,USDT-DFI,351047.04959733
