,DateCaptured,Windows,Mac,Linux
v1.0.0,2022-07-16,486,,
v1.6.2,2022-07-17,142,45.0,20.0
v1.6.1,2022-07-17,373,7.0,74.0
v1.6.0,2022-07-17,511,330.0,70.0
v1.5.1-beta,2022-07-17,284,102.0,
1.5.0,2022-07-17,929,423.0,104.0
v1.4.2,2022-07-17,595,290.0,67.0
v1.4.1,2022-07-17,235,96.0,32.0
v1.4.0,2022-07-17,405,145.0,37.0
v1.3.0,2022-07-17,91,76.0,27.0
v1.2.1,2022-07-17,192,,
v1.1.0,2022-07-17,189,,
v1.0.0,2022-07-17,486,,
v1.6.2,2022-07-18,144,45.0,20.0
v1.6.1,2022-07-18,373,7.0,74.0
v1.6.0,2022-07-18,511,330.0,70.0
v1.5.1-beta,2022-07-18,284,102.0,
1.5.0,2022-07-18,930,423.0,104.0
v1.4.2,2022-07-18,595,290.0,67.0
v1.4.1,2022-07-18,235,96.0,32.0
v1.4.0,2022-07-18,405,145.0,37.0
v1.3.0,2022-07-18,91,76.0,27.0
v1.2.1,2022-07-18,192,,
v1.1.0,2022-07-18,189,,
v1.0.0,2022-07-18,486,,
v1.6.2,2022-07-19,150,45.0,20.0
v1.6.1,2022-07-19,373,7.0,74.0
v1.6.0,2022-07-19,511,330.0,70.0
v1.5.1-beta,2022-07-19,284,102.0,
1.5.0,2022-07-19,930,423.0,104.0
v1.4.2,2022-07-19,595,290.0,67.0
v1.4.1,2022-07-19,235,96.0,32.0
v1.4.0,2022-07-19,405,145.0,37.0
v1.3.0,2022-07-19,91,76.0,27.0
v1.2.1,2022-07-19,192,,
v1.1.0,2022-07-19,189,,
v1.0.0,2022-07-19,486,,
v1.6.2,2022-07-20,152,45.0,20.0
v1.6.1,2022-07-20,373,7.0,74.0
v1.6.0,2022-07-20,511,330.0,70.0
v1.5.1-beta,2022-07-20,284,102.0,
1.5.0,2022-07-20,930,423.0,104.0
v1.4.2,2022-07-20,595,290.0,67.0
v1.4.1,2022-07-20,235,96.0,32.0
v1.4.0,2022-07-20,405,145.0,37.0
v1.3.0,2022-07-20,91,76.0,27.0
v1.2.1,2022-07-20,192,,
v1.1.0,2022-07-20,189,,
v1.0.0,2022-07-20,486,,
v1.6.2,2022-07-21,152,45.0,20.0
v1.6.1,2022-07-21,373,7.0,74.0
v1.6.0,2022-07-21,511,330.0,70.0
v1.5.1-beta,2022-07-21,284,102.0,
1.5.0,2022-07-21,930,423.0,104.0
v1.4.2,2022-07-21,595,290.0,67.0
v1.4.1,2022-07-21,235,96.0,32.0
v1.4.0,2022-07-21,406,145.0,37.0
v1.3.0,2022-07-21,91,76.0,27.0
v1.2.1,2022-07-21,192,,
v1.1.0,2022-07-21,189,,
v1.0.0,2022-07-21,486,,
v1.6.2,2022-07-22,156,47.0,20.0
v1.6.1,2022-07-22,373,7.0,74.0
v1.6.0,2022-07-22,511,330.0,70.0
v1.5.1-beta,2022-07-22,284,102.0,
1.5.0,2022-07-22,930,423.0,104.0
v1.4.2,2022-07-22,595,290.0,67.0
v1.4.1,2022-07-22,235,96.0,32.0
v1.4.0,2022-07-22,406,145.0,37.0
v1.3.0,2022-07-22,91,76.0,27.0
v1.2.1,2022-07-22,192,,
v1.1.0,2022-07-22,189,,
v1.0.0,2022-07-22,486,,
v1.6.2,2022-07-23,160,49.0,20.0
v1.6.1,2022-07-23,373,7.0,74.0
v1.6.0,2022-07-23,511,330.0,70.0
v1.5.1-beta,2022-07-23,285,102.0,
1.5.0,2022-07-23,930,423.0,104.0
v1.4.2,2022-07-23,595,290.0,67.0
v1.4.1,2022-07-23,235,96.0,32.0
v1.4.0,2022-07-23,406,145.0,37.0
v1.3.0,2022-07-23,91,76.0,27.0
v1.2.1,2022-07-23,192,,
v1.1.0,2022-07-23,189,,
v1.0.0,2022-07-23,486,,
v1.6.2,2022-07-24,166,49.0,20.0
v1.6.1,2022-07-24,373,7.0,74.0
v1.6.0,2022-07-24,511,330.0,70.0
v1.5.1-beta,2022-07-24,285,102.0,
1.5.0,2022-07-24,930,423.0,104.0
v1.4.2,2022-07-24,595,290.0,67.0
v1.4.1,2022-07-24,235,96.0,32.0
v1.4.0,2022-07-24,406,145.0,37.0
v1.3.0,2022-07-24,91,76.0,27.0
v1.2.1,2022-07-24,192,,
v1.1.0,2022-07-24,189,,
v1.0.0,2022-07-24,486,,
v1.6.2,2022-07-25,172,49.0,20.0
v1.6.1,2022-07-25,373,7.0,74.0
v1.6.0,2022-07-25,512,330.0,70.0
v1.5.1-beta,2022-07-25,285,102.0,
1.5.0,2022-07-25,930,423.0,104.0
v1.4.2,2022-07-25,595,290.0,67.0
v1.4.1,2022-07-25,235,96.0,32.0
v1.4.0,2022-07-25,406,145.0,37.0
v1.3.0,2022-07-25,91,76.0,27.0
v1.2.1,2022-07-25,192,,
v1.1.0,2022-07-25,189,,
v1.0.0,2022-07-25,486,,
v1.6.2,2022-07-26,174,49.0,20.0
v1.6.1,2022-07-26,373,7.0,74.0
v1.6.0,2022-07-26,513,330.0,70.0
v1.5.1-beta,2022-07-26,286,102.0,
1.5.0,2022-07-26,930,423.0,104.0
v1.4.2,2022-07-26,595,290.0,67.0
v1.4.1,2022-07-26,235,96.0,32.0
v1.4.0,2022-07-26,406,145.0,37.0
v1.3.0,2022-07-26,91,76.0,27.0
v1.2.1,2022-07-26,192,,
v1.1.0,2022-07-26,189,,
v1.0.0,2022-07-26,486,,
v1.6.2,2022-07-27,176,51.0,20.0
v1.6.1,2022-07-27,373,7.0,74.0
v1.6.0,2022-07-27,513,330.0,70.0
v1.5.1-beta,2022-07-27,286,102.0,
1.5.0,2022-07-27,930,423.0,104.0
v1.4.2,2022-07-27,595,290.0,67.0
v1.4.1,2022-07-27,235,96.0,32.0
v1.4.0,2022-07-27,406,145.0,37.0
v1.3.0,2022-07-27,91,76.0,27.0
v1.2.1,2022-07-27,192,,
v1.1.0,2022-07-27,189,,
v1.0.0,2022-07-27,486,,
v1.6.2,2022-07-28,176,51.0,20.0
v1.6.1,2022-07-28,373,7.0,74.0
v1.6.0,2022-07-28,513,330.0,70.0
v1.5.1-beta,2022-07-28,286,102.0,
1.5.0,2022-07-28,930,423.0,104.0
v1.4.2,2022-07-28,595,290.0,67.0
v1.4.1,2022-07-28,235,96.0,32.0
v1.4.0,2022-07-28,406,145.0,37.0
v1.3.0,2022-07-28,91,76.0,27.0
v1.2.1,2022-07-28,192,,
v1.1.0,2022-07-28,189,,
v1.0.0,2022-07-28,486,,
v1.6.2,2022-07-29,180,51.0,20.0
v1.6.1,2022-07-29,373,7.0,74.0
v1.6.0,2022-07-29,514,330.0,70.0
v1.5.1-beta,2022-07-29,286,102.0,
1.5.0,2022-07-29,930,423.0,104.0
v1.4.2,2022-07-29,595,290.0,67.0
v1.4.1,2022-07-29,235,96.0,32.0
v1.4.0,2022-07-29,406,145.0,37.0
v1.3.0,2022-07-29,91,76.0,27.0
v1.2.1,2022-07-29,192,,
v1.1.0,2022-07-29,189,,
v1.0.0,2022-07-29,486,,
v1.6.2,2022-07-30,180,53.0,20.0
v1.6.1,2022-07-30,373,7.0,74.0
v1.6.0,2022-07-30,514,330.0,70.0
v1.5.1-beta,2022-07-30,286,102.0,
1.5.0,2022-07-30,930,423.0,104.0
v1.4.2,2022-07-30,595,290.0,67.0
v1.4.1,2022-07-30,235,96.0,32.0
v1.4.0,2022-07-30,406,145.0,37.0
v1.3.0,2022-07-30,91,76.0,27.0
v1.2.1,2022-07-30,192,,
v1.1.0,2022-07-30,189,,
v1.0.0,2022-07-30,486,,
v1.6.2,2022-07-31,182,53.0,20.0
v1.6.1,2022-07-31,373,7.0,74.0
v1.6.0,2022-07-31,514,330.0,70.0
v1.5.1-beta,2022-07-31,287,102.0,
1.5.0,2022-07-31,930,423.0,104.0
v1.4.2,2022-07-31,595,290.0,67.0
v1.4.1,2022-07-31,235,96.0,32.0
v1.4.0,2022-07-31,406,145.0,37.0
v1.3.0,2022-07-31,91,76.0,27.0
v1.2.1,2022-07-31,192,,
v1.1.0,2022-07-31,189,,
v1.0.0,2022-07-31,486,,
v1.6.2,2022-08-01,182,53.0,20.0
v1.6.1,2022-08-01,373,7.0,74.0
v1.6.0,2022-08-01,514,331.0,70.0
v1.5.1-beta,2022-08-01,288,102.0,
1.5.0,2022-08-01,930,423.0,104.0
v1.4.2,2022-08-01,595,290.0,67.0
v1.4.1,2022-08-01,235,96.0,32.0
v1.4.0,2022-08-01,406,145.0,37.0
v1.3.0,2022-08-01,91,76.0,27.0
v1.2.1,2022-08-01,192,,
v1.1.0,2022-08-01,189,,
v1.0.0,2022-08-01,486,,
v1.6.2,2022-08-02,182,53.0,20.0
v1.6.1,2022-08-02,373,7.0,74.0
v1.6.0,2022-08-02,514,331.0,70.0
v1.5.1-beta,2022-08-02,289,102.0,
1.5.0,2022-08-02,930,423.0,104.0
v1.4.2,2022-08-02,595,290.0,67.0
v1.4.1,2022-08-02,235,96.0,32.0
v1.4.0,2022-08-02,406,145.0,37.0
v1.3.0,2022-08-02,91,76.0,27.0
v1.2.1,2022-08-02,192,,
v1.1.0,2022-08-02,189,,
v1.0.0,2022-08-02,486,,
v1.6.2,2022-08-03,182,55.0,20.0
v1.6.1,2022-08-03,373,7.0,74.0
v1.6.0,2022-08-03,514,331.0,70.0
v1.5.1-beta,2022-08-03,289,102.0,
1.5.0,2022-08-03,931,423.0,104.0
v1.4.2,2022-08-03,595,290.0,67.0
v1.4.1,2022-08-03,235,96.0,32.0
v1.4.0,2022-08-03,406,145.0,37.0
v1.3.0,2022-08-03,91,76.0,27.0
v1.2.1,2022-08-03,192,,
v1.1.0,2022-08-03,189,,
v1.0.0,2022-08-03,486,,
v1.6.2,2022-08-04,182,55.0,20.0
v1.6.1,2022-08-04,373,7.0,74.0
v1.6.0,2022-08-04,514,332.0,70.0
v1.5.1-beta,2022-08-04,289,102.0,
1.5.0,2022-08-04,931,423.0,104.0
v1.4.2,2022-08-04,595,290.0,67.0
v1.4.1,2022-08-04,235,96.0,32.0
v1.4.0,2022-08-04,406,145.0,37.0
v1.3.0,2022-08-04,91,76.0,27.0
v1.2.1,2022-08-04,192,,
v1.1.0,2022-08-04,189,,
v1.0.0,2022-08-04,486,,
v1.6.2,2022-08-05,186,59.0,20.0
v1.6.1,2022-08-05,373,7.0,74.0
v1.6.0,2022-08-05,515,332.0,70.0
v1.5.1-beta,2022-08-05,289,102.0,
1.5.0,2022-08-05,931,423.0,104.0
v1.4.2,2022-08-05,595,290.0,67.0
v1.4.1,2022-08-05,235,96.0,32.0
v1.4.0,2022-08-05,406,145.0,37.0
v1.3.0,2022-08-05,91,76.0,27.0
v1.2.1,2022-08-05,192,,
v1.1.0,2022-08-05,189,,
v1.0.0,2022-08-05,486,,
v1.6.2,2022-08-06,190,59.0,20.0
v1.6.1,2022-08-06,373,7.0,74.0
v1.6.0,2022-08-06,515,332.0,70.0
v1.5.1-beta,2022-08-06,290,102.0,
1.5.0,2022-08-06,931,423.0,104.0
v1.4.2,2022-08-06,595,290.0,67.0
v1.4.1,2022-08-06,235,96.0,32.0
v1.4.0,2022-08-06,406,145.0,37.0
v1.3.0,2022-08-06,91,76.0,27.0
v1.2.1,2022-08-06,192,,
v1.1.0,2022-08-06,189,,
v1.0.0,2022-08-06,486,,
v1.6.2,2022-08-07,190,61.0,20.0
v1.6.1,2022-08-07,373,7.0,74.0
v1.6.0,2022-08-07,515,332.0,70.0
v1.5.1-beta,2022-08-07,290,102.0,
1.5.0,2022-08-07,931,423.0,104.0
v1.4.2,2022-08-07,595,290.0,67.0
v1.4.1,2022-08-07,235,96.0,32.0
v1.4.0,2022-08-07,406,145.0,37.0
v1.3.0,2022-08-07,91,76.0,27.0
v1.2.1,2022-08-07,192,,
v1.1.0,2022-08-07,189,,
v1.0.0,2022-08-07,486,,
v1.6.2,2022-08-08,194,61.0,20.0
v1.6.1,2022-08-08,373,7.0,74.0
v1.6.0,2022-08-08,516,332.0,70.0
v1.5.1-beta,2022-08-08,290,102.0,
1.5.0,2022-08-08,932,423.0,104.0
v1.4.2,2022-08-08,595,290.0,67.0
v1.4.1,2022-08-08,235,96.0,32.0
v1.4.0,2022-08-08,406,145.0,37.0
v1.3.0,2022-08-08,91,76.0,27.0
v1.2.1,2022-08-08,192,,
v1.1.0,2022-08-08,189,,
v1.0.0,2022-08-08,486,,
v1.6.2,2022-08-09,196,63.0,20.0
v1.6.1,2022-08-09,373,7.0,74.0
v1.6.0,2022-08-09,516,332.0,70.0
v1.5.1-beta,2022-08-09,290,102.0,
1.5.0,2022-08-09,933,423.0,104.0
v1.4.2,2022-08-09,595,290.0,67.0
v1.4.1,2022-08-09,235,96.0,32.0
v1.4.0,2022-08-09,406,145.0,37.0
v1.3.0,2022-08-09,91,76.0,27.0
v1.2.1,2022-08-09,192,,
v1.1.0,2022-08-09,189,,
v1.0.0,2022-08-09,486,,
v1.6.2,2022-08-10,196,63.0,20.0
v1.6.1,2022-08-10,373,7.0,74.0
v1.6.0,2022-08-10,516,332.0,70.0
v1.5.1-beta,2022-08-10,290,102.0,
1.5.0,2022-08-10,933,423.0,104.0
v1.4.2,2022-08-10,595,290.0,67.0
v1.4.1,2022-08-10,235,96.0,32.0
v1.4.0,2022-08-10,406,145.0,37.0
v1.3.0,2022-08-10,91,76.0,27.0
v1.2.1,2022-08-10,192,,
v1.1.0,2022-08-10,189,,
v1.0.0,2022-08-10,486,,
v1.6.2,2022-08-11,198,63.0,20.0
v1.6.1,2022-08-11,373,7.0,74.0
v1.6.0,2022-08-11,516,332.0,70.0
v1.5.1-beta,2022-08-11,290,102.0,
1.5.0,2022-08-11,933,423.0,104.0
v1.4.2,2022-08-11,595,290.0,67.0
v1.4.1,2022-08-11,235,96.0,32.0
v1.4.0,2022-08-11,406,145.0,37.0
v1.3.0,2022-08-11,91,76.0,27.0
v1.2.1,2022-08-11,192,,
v1.1.0,2022-08-11,189,,
v1.0.0,2022-08-11,486,,
v1.6.2,2022-08-12,198,63.0,20.0
v1.6.1,2022-08-12,373,7.0,74.0
v1.6.0,2022-08-12,516,332.0,70.0
v1.5.1-beta,2022-08-12,290,102.0,
1.5.0,2022-08-12,935,423.0,104.0
v1.4.2,2022-08-12,595,290.0,67.0
v1.4.1,2022-08-12,235,96.0,32.0
v1.4.0,2022-08-12,406,145.0,37.0
v1.3.0,2022-08-12,91,76.0,27.0
v1.2.1,2022-08-12,192,,
v1.1.0,2022-08-12,189,,
v1.0.0,2022-08-12,486,,
v1.6.2,2022-08-13,200,63.0,20.0
v1.6.1,2022-08-13,373,7.0,74.0
v1.6.0,2022-08-13,516,332.0,70.0
v1.5.1-beta,2022-08-13,291,102.0,
1.5.0,2022-08-13,935,423.0,104.0
v1.4.2,2022-08-13,595,290.0,67.0
v1.4.1,2022-08-13,235,96.0,32.0
v1.4.0,2022-08-13,406,145.0,37.0
v1.3.0,2022-08-13,91,76.0,27.0
v1.2.1,2022-08-13,192,,
v1.1.0,2022-08-13,189,,
v1.0.0,2022-08-13,486,,
v1.6.2,2022-08-14,202,63.0,20.0
v1.6.1,2022-08-14,373,7.0,74.0
v1.6.0,2022-08-14,516,332.0,70.0
v1.5.1-beta,2022-08-14,291,102.0,
1.5.0,2022-08-14,935,423.0,104.0
v1.4.2,2022-08-14,595,290.0,67.0
v1.4.1,2022-08-14,235,96.0,32.0
v1.4.0,2022-08-14,406,145.0,37.0
v1.3.0,2022-08-14,91,76.0,27.0
v1.2.1,2022-08-14,192,,
v1.1.0,2022-08-14,189,,
v1.0.0,2022-08-14,486,,
v1.6.2,2022-08-15,202,63.0,20.0
v1.6.1,2022-08-15,373,7.0,74.0
v1.6.0,2022-08-15,517,332.0,70.0
v1.5.1-beta,2022-08-15,291,102.0,
1.5.0,2022-08-15,935,423.0,104.0
v1.4.2,2022-08-15,595,290.0,67.0
v1.4.1,2022-08-15,235,96.0,32.0
v1.4.0,2022-08-15,406,145.0,37.0
v1.3.0,2022-08-15,91,76.0,27.0
v1.2.1,2022-08-15,192,,
v1.1.0,2022-08-15,189,,
v1.0.0,2022-08-15,486,,
v1.6.2,2022-08-16,204,65.0,20.0
v1.6.1,2022-08-16,373,7.0,74.0
v1.6.0,2022-08-16,517,332.0,70.0
v1.5.1-beta,2022-08-16,291,102.0,
1.5.0,2022-08-16,935,423.0,104.0
v1.4.2,2022-08-16,595,290.0,67.0
v1.4.1,2022-08-16,235,96.0,32.0
v1.4.0,2022-08-16,406,145.0,37.0
v1.3.0,2022-08-16,91,76.0,27.0
v1.2.1,2022-08-16,192,,
v1.1.0,2022-08-16,189,,
v1.0.0,2022-08-16,486,,
v1.6.2,2022-08-17,204,67.0,20.0
v1.6.1,2022-08-17,373,7.0,74.0
v1.6.0,2022-08-17,517,332.0,70.0
v1.5.1-beta,2022-08-17,292,102.0,
1.5.0,2022-08-17,935,423.0,104.0
v1.4.2,2022-08-17,595,290.0,67.0
v1.4.1,2022-08-17,235,96.0,32.0
v1.4.0,2022-08-17,406,145.0,37.0
v1.3.0,2022-08-17,91,76.0,27.0
v1.2.1,2022-08-17,192,,
v1.1.0,2022-08-17,189,,
v1.0.0,2022-08-17,486,,
v1.6.2,2022-08-18,204,67.0,20.0
v1.6.1,2022-08-18,373,7.0,74.0
v1.6.0,2022-08-18,518,339.0,70.0
v1.5.1-beta,2022-08-18,292,102.0,
1.5.0,2022-08-18,936,423.0,104.0
v1.4.2,2022-08-18,595,290.0,67.0
v1.4.1,2022-08-18,235,96.0,32.0
v1.4.0,2022-08-18,406,145.0,37.0
v1.3.0,2022-08-18,91,76.0,27.0
v1.2.1,2022-08-18,192,,
v1.1.0,2022-08-18,189,,
v1.0.0,2022-08-18,486,,
v1.6.2,2022-08-19,204,69.0,20.0
v1.6.1,2022-08-19,373,7.0,74.0
v1.6.0,2022-08-19,518,340.0,70.0
v1.5.1-beta,2022-08-19,293,102.0,
1.5.0,2022-08-19,936,423.0,104.0
v1.4.2,2022-08-19,595,290.0,67.0
v1.4.1,2022-08-19,235,96.0,32.0
v1.4.0,2022-08-19,406,145.0,37.0
v1.3.0,2022-08-19,91,76.0,27.0
v1.2.1,2022-08-19,192,,
v1.1.0,2022-08-19,189,,
v1.0.0,2022-08-19,486,,
v1.6.2,2022-08-20,204,71.0,20.0
v1.6.1,2022-08-20,373,7.0,74.0
v1.6.0,2022-08-20,518,340.0,70.0
v1.5.1-beta,2022-08-20,294,102.0,
1.5.0,2022-08-20,936,423.0,104.0
v1.4.2,2022-08-20,595,290.0,67.0
v1.4.1,2022-08-20,235,96.0,32.0
v1.4.0,2022-08-20,406,145.0,37.0
v1.3.0,2022-08-20,91,76.0,27.0
v1.2.1,2022-08-20,192,,
v1.1.0,2022-08-20,189,,
v1.0.0,2022-08-20,486,,
v1.6.2,2022-08-21,204,71.0,20.0
v1.6.1,2022-08-21,373,7.0,74.0
v1.6.0,2022-08-21,518,340.0,70.0
v1.5.1-beta,2022-08-21,294,102.0,
1.5.0,2022-08-21,937,423.0,104.0
v1.4.2,2022-08-21,595,290.0,67.0
v1.4.1,2022-08-21,235,96.0,32.0
v1.4.0,2022-08-21,406,145.0,37.0
v1.3.0,2022-08-21,91,76.0,27.0
v1.2.1,2022-08-21,192,,
v1.1.0,2022-08-21,189,,
v1.0.0,2022-08-21,486,,
v1.6.2,2022-08-22,207,71.0,20.0
v1.6.1,2022-08-22,373,7.0,74.0
v1.6.0,2022-08-22,518,340.0,70.0
v1.5.1-beta,2022-08-22,294,102.0,
1.5.0,2022-08-22,937,423.0,104.0
v1.4.2,2022-08-22,595,290.0,67.0
v1.4.1,2022-08-22,235,96.0,32.0
v1.4.0,2022-08-22,406,145.0,37.0
v1.3.0,2022-08-22,91,76.0,27.0
v1.2.1,2022-08-22,192,,
v1.1.0,2022-08-22,189,,
v1.0.0,2022-08-22,486,,
v1.6.2,2022-08-23,209,71.0,20.0
v1.6.1,2022-08-23,373,7.0,74.0
v1.6.0,2022-08-23,518,340.0,70.0
v1.5.1-beta,2022-08-23,294,102.0,
1.5.0,2022-08-23,938,423.0,104.0
v1.4.2,2022-08-23,595,290.0,67.0
v1.4.1,2022-08-23,235,96.0,32.0
v1.4.0,2022-08-23,406,145.0,37.0
v1.3.0,2022-08-23,91,76.0,27.0
v1.2.1,2022-08-23,192,,
v1.1.0,2022-08-23,189,,
v1.0.0,2022-08-23,486,,
v1.6.2,2022-08-24,209,71.0,20.0
v1.6.1,2022-08-24,373,7.0,74.0
v1.6.0,2022-08-24,519,340.0,70.0
v1.5.1-beta,2022-08-24,295,102.0,
1.5.0,2022-08-24,938,423.0,104.0
v1.4.2,2022-08-24,595,290.0,67.0
v1.4.1,2022-08-24,235,96.0,32.0
v1.4.0,2022-08-24,406,145.0,37.0
v1.3.0,2022-08-24,91,76.0,27.0
v1.2.1,2022-08-24,192,,
v1.1.0,2022-08-24,189,,
v1.0.0,2022-08-24,486,,
v1.6.2,2022-08-25,209,71.0,20.0
v1.6.1,2022-08-25,373,7.0,74.0
v1.6.0,2022-08-25,519,340.0,70.0
v1.5.1-beta,2022-08-25,295,102.0,
1.5.0,2022-08-25,938,423.0,104.0
v1.4.2,2022-08-25,597,290.0,67.0
v1.4.1,2022-08-25,235,96.0,32.0
v1.4.0,2022-08-25,406,145.0,37.0
v1.3.0,2022-08-25,91,76.0,27.0
v1.2.1,2022-08-25,192,,
v1.1.0,2022-08-25,189,,
v1.0.0,2022-08-25,486,,
v1.6.2,2022-08-26,211,73.0,20.0
v1.6.1,2022-08-26,373,7.0,74.0
v1.6.0,2022-08-26,519,340.0,70.0
v1.5.1-beta,2022-08-26,295,102.0,
1.5.0,2022-08-26,939,423.0,104.0
v1.4.2,2022-08-26,597,290.0,67.0
v1.4.1,2022-08-26,235,96.0,32.0
v1.4.0,2022-08-26,406,145.0,37.0
v1.3.0,2022-08-26,91,76.0,27.0
v1.2.1,2022-08-26,192,,
v1.1.0,2022-08-26,189,,
v1.0.0,2022-08-26,486,,
v1.6.2,2022-08-27,219,75.0,20.0
v1.6.1,2022-08-27,373,7.0,74.0
v1.6.0,2022-08-27,519,340.0,70.0
v1.5.1-beta,2022-08-27,295,102.0,
1.5.0,2022-08-27,940,423.0,104.0
v1.4.2,2022-08-27,597,290.0,67.0
v1.4.1,2022-08-27,235,96.0,32.0
v1.4.0,2022-08-27,406,145.0,37.0
v1.3.0,2022-08-27,91,76.0,27.0
v1.2.1,2022-08-27,192,,
v1.1.0,2022-08-27,189,,
v1.0.0,2022-08-27,486,,
v1.6.2,2022-08-28,221,77.0,20.0
v1.6.1,2022-08-28,373,7.0,74.0
v1.6.0,2022-08-28,519,340.0,70.0
v1.5.1-beta,2022-08-28,295,102.0,
1.5.0,2022-08-28,941,423.0,104.0
v1.4.2,2022-08-28,597,290.0,67.0
v1.4.1,2022-08-28,235,96.0,32.0
v1.4.0,2022-08-28,406,145.0,37.0
v1.3.0,2022-08-28,91,76.0,27.0
v1.2.1,2022-08-28,192,,
v1.1.0,2022-08-28,189,,
v1.0.0,2022-08-28,486,,
v1.6.2,2022-08-29,226,77.0,20.0
v1.6.1,2022-08-29,373,7.0,74.0
v1.6.0,2022-08-29,519,340.0,70.0
v1.5.1-beta,2022-08-29,295,102.0,
1.5.0,2022-08-29,941,423.0,104.0
v1.4.2,2022-08-29,597,290.0,67.0
v1.4.1,2022-08-29,235,96.0,32.0
v1.4.0,2022-08-29,406,145.0,37.0
v1.3.0,2022-08-29,91,76.0,27.0
v1.2.1,2022-08-29,192,,
v1.1.0,2022-08-29,189,,
v1.0.0,2022-08-29,486,,
v1.6.2,2022-08-30,226,77.0,20.0
v1.6.1,2022-08-30,373,7.0,74.0
v1.6.0,2022-08-30,520,340.0,70.0
v1.5.1-beta,2022-08-30,296,102.0,
1.5.0,2022-08-30,941,423.0,104.0
v1.4.2,2022-08-30,597,290.0,67.0
v1.4.1,2022-08-30,235,96.0,32.0
v1.4.0,2022-08-30,406,145.0,37.0
v1.3.0,2022-08-30,91,76.0,27.0
v1.2.1,2022-08-30,192,,
v1.1.0,2022-08-30,189,,
v1.0.0,2022-08-30,486,,
v1.6.2,2022-08-31,228,77.0,20.0
v1.6.1,2022-08-31,373,7.0,74.0
v1.6.0,2022-08-31,520,340.0,70.0
v1.5.1-beta,2022-08-31,296,102.0,
1.5.0,2022-08-31,942,423.0,104.0
v1.4.2,2022-08-31,597,290.0,67.0
v1.4.1,2022-08-31,235,96.0,32.0
v1.4.0,2022-08-31,406,145.0,37.0
v1.3.0,2022-08-31,91,76.0,27.0
v1.2.1,2022-08-31,192,,
v1.1.0,2022-08-31,189,,
v1.0.0,2022-08-31,486,,
v1.6.2,2022-09-01,228,77.0,20.0
v1.6.1,2022-09-01,373,7.0,74.0
v1.6.0,2022-09-01,520,340.0,70.0
v1.5.1-beta,2022-09-01,296,102.0,
1.5.0,2022-09-01,942,423.0,104.0
v1.4.2,2022-09-01,597,290.0,67.0
v1.4.1,2022-09-01,235,96.0,32.0
v1.4.0,2022-09-01,406,145.0,37.0
v1.3.0,2022-09-01,91,76.0,27.0
v1.2.1,2022-09-01,192,,
v1.1.0,2022-09-01,189,,
v1.0.0,2022-09-01,486,,
v1.6.2,2022-09-02,230,77.0,20.0
v1.6.1,2022-09-02,373,7.0,74.0
v1.6.0,2022-09-02,520,340.0,70.0
v1.5.1-beta,2022-09-02,296,102.0,
1.5.0,2022-09-02,942,423.0,104.0
v1.4.2,2022-09-02,597,290.0,67.0
v1.4.1,2022-09-02,235,96.0,32.0
v1.4.0,2022-09-02,406,145.0,37.0
v1.3.0,2022-09-02,91,76.0,27.0
v1.2.1,2022-09-02,192,,
v1.1.0,2022-09-02,189,,
v1.0.0,2022-09-02,486,,
v1.6.2,2022-09-03,230,77.0,20.0
v1.6.1,2022-09-03,373,7.0,74.0
v1.6.0,2022-09-03,520,340.0,70.0
v1.5.1-beta,2022-09-03,297,102.0,
1.5.0,2022-09-03,942,423.0,104.0
v1.4.2,2022-09-03,597,292.0,67.0
v1.4.1,2022-09-03,235,96.0,32.0
v1.4.0,2022-09-03,406,145.0,37.0
v1.3.0,2022-09-03,91,76.0,27.0
v1.2.1,2022-09-03,192,,
v1.1.0,2022-09-03,189,,
v1.0.0,2022-09-03,486,,
v1.6.2,2022-09-04,236,79.0,20.0
v1.6.1,2022-09-04,373,7.0,74.0
v1.6.0,2022-09-04,521,340.0,70.0
v1.5.1-beta,2022-09-04,297,102.0,
1.5.0,2022-09-04,942,423.0,104.0
v1.4.2,2022-09-04,597,292.0,67.0
v1.4.1,2022-09-04,235,96.0,32.0
v1.4.0,2022-09-04,406,145.0,37.0
v1.3.0,2022-09-04,91,76.0,27.0
v1.2.1,2022-09-04,192,,
v1.1.0,2022-09-04,189,,
v1.0.0,2022-09-04,486,,
v1.6.2,2022-09-05,240,79.0,20.0
v1.6.1,2022-09-05,373,7.0,74.0
v1.6.0,2022-09-05,521,340.0,70.0
v1.5.1-beta,2022-09-05,297,102.0,
1.5.0,2022-09-05,942,423.0,104.0
v1.4.2,2022-09-05,597,292.0,67.0
v1.4.1,2022-09-05,235,96.0,32.0
v1.4.0,2022-09-05,406,145.0,37.0
v1.3.0,2022-09-05,91,76.0,27.0
v1.2.1,2022-09-05,192,,
v1.1.0,2022-09-05,189,,
v1.0.0,2022-09-05,486,,
v1.6.2,2022-09-06,240,79.0,20.0
v1.6.1,2022-09-06,373,7.0,74.0
v1.6.0,2022-09-06,521,340.0,70.0
v1.5.1-beta,2022-09-06,297,102.0,
1.5.0,2022-09-06,942,423.0,104.0
v1.4.2,2022-09-06,597,292.0,67.0
v1.4.1,2022-09-06,235,96.0,32.0
v1.4.0,2022-09-06,406,145.0,37.0
v1.3.0,2022-09-06,91,76.0,27.0
v1.2.1,2022-09-06,192,,
