,Time,base_name,base_volume,last_price,pool,quote_name,quote_volume,coingeckoVolume
18956,2021-07-04 17:00:40.111341,LTC,13316.6809878462,61.59650683,LTC_DFI,DFI,26156.104674967806,1194389.0345593097
18957,2021-07-04 17:00:40.111341,BCH,14265.265550966202,226.29333501,BCH_DFI,DFI,31860.641367126,1194389.0345593097
18958,2021-07-04 22:00:29.244034,ETH,24297.65302128,988.16747055,ETH_DFI,DFI,374270.5398602886,1342327.6964015097
18959,2021-07-04 22:00:29.244034,BTC,234910.74789514995,15056.9147482,BTC_DFI,DFI,186031.5330344385,1342327.6964015097
18960,2021-07-04 22:00:29.244034,USDT,193938.88895338005,0.42379361,USDT_DFI,DFI,132517.86542599768,1342327.6964015097
18961,2021-07-04 22:00:29.244034,DOGE,4903.689336264593,0.10603314,DOGE_DFI,DFI,403.0308890565,1342327.6964015097
18962,2021-07-04 22:00:29.244034,LTC,13605.1510833024,61.90896549,LTC_DFI,DFI,30555.93689595481,1342327.6964015097
18963,2021-07-04 22:00:29.244034,BCH,14392.2267611126,225.51213823,BCH_DFI,DFI,33808.0330412517,1342327.6964015097
18964,2021-07-05 00:03:20.237545,ETH,51315.085037004,985.28980556,ETH_DFI,DFI,382522.78345443006,1338884.1164751395
18965,2021-07-05 00:03:20.237545,BTC,226002.87049892,15062.04744538,BTC_DFI,DFI,198819.951429004,1338884.1164751395
18966,2021-07-05 00:03:20.237545,USDT,193767.24634708004,0.42387801,USDT_DFI,DFI,115548.8825684965,1338884.1164751395
18967,2021-07-05 00:03:20.237545,DOGE,4218.460844932079,0.10570741,DOGE_DFI,DFI,399.62978450750006,1338884.1164751395
18968,2021-07-05 00:03:20.237545,LTC,13147.2860554036,61.95005244,LTC_DFI,DFI,31730.766787858003,1338884.1164751395
18969,2021-07-05 00:03:20.237545,BCH,13518.4727479486,225.51213823,BCH_DFI,DFI,33273.21804884999,1338884.1164751395
18970,2021-07-05 02:03:08.634168,ETH,68692.0460251992,983.81952046,ETH_DFI,DFI,366135.4906963461,1367466.4423261622
18971,2021-07-05 02:03:08.634168,BTC,217867.6198116,15060.27325762,BTC_DFI,DFI,176202.889931982,1367466.4423261622
18972,2021-07-05 02:03:08.634168,USDT,190934.59120174003,0.42906721,USDT_DFI,DFI,149425.857677342,1367466.4423261622
18973,2021-07-05 02:03:08.634168,DOGE,4159.214048494957,0.10570741,DOGE_DFI,DFI,391.12702313500006,1367466.4423261622
18974,2021-07-05 02:03:08.634168,LTC,13152.018202301602,61.94481555,LTC_DFI,DFI,31054.257528528007,1367466.4423261622
18975,2021-07-05 02:03:08.634168,BCH,18394.5166127167,224.42670715,BCH_DFI,DFI,34177.57723929999,1367466.4423261622
18976,2021-07-05 04:00:47.673940,ETH,75684.830471967,983.07691048,ETH_DFI,DFI,363286.8638207256,1402707.6546305548
18977,2021-07-05 04:00:47.673940,BTC,224526.27104532,15060.46880997,BTC_DFI,DFI,175037.4790382196,1402707.6546305548
18978,2021-07-05 04:00:47.673940,USDT,189784.84948788004,0.4308066,USDT_DFI,DFI,160004.1609509772,1402707.6546305548
18979,2021-07-05 04:00:47.673940,DOGE,4153.142278074871,0.10570741,DOGE_DFI,DFI,387.725918586,1402707.6546305548
18980,2021-07-05 04:00:47.673940,LTC,12430.1070404671,61.94481555,LTC_DFI,DFI,29245.552624222804,1402707.6546305548
18981,2021-07-05 04:00:47.673940,BCH,17149.710382116,224.42670715,BCH_DFI,DFI,33863.161398176395,1402707.6546305548
18982,2021-07-05 13:00:30.650706,ETH,137954.86331375342,983.73824671,ETH_DFI,DFI,182749.2192137376,1804897.3396452845
18983,2021-07-05 13:00:30.650706,BTC,357150.90808266005,14992.23918816,BTC_DFI,DFI,166857.2097729485,1804897.3396452845
18984,2021-07-05 13:00:30.650706,USDT,118061.87987751,0.44627934,USDT_DFI,DFI,238271.0883435376,1804897.3396452845
18985,2021-07-05 13:00:30.650706,DOGE,8335.850815362433,0.10252246,DOGE_DFI,DFI,376.3711957432,1804897.3396452845
18986,2021-07-05 13:00:30.650706,LTC,54680.98578649389,60.79201421,LTC_DFI,DFI,46444.3660781084,1804897.3396452845
18987,2021-07-05 13:00:30.650706,BCH,23011.8822537808,220.13739158,BCH_DFI,DFI,23942.165795104,1804897.3396452845
18988,2021-07-05 15:00:49.693228,ETH,146044.65980384013,982.76178404,ETH_DFI,DFI,184501.5090013173,1986221.4379854165
18989,2021-07-05 15:00:49.693228,BTC,386669.7966888901,14987.63744244,BTC_DFI,DFI,181024.88768960343,1986221.4379854165
18990,2021-07-05 15:00:49.693228,USDT,146016.59414604,0.44224021,USDT_DFI,DFI,242002.8446316647,1986221.4379854165
18991,2021-07-05 15:00:49.693228,DOGE,8315.42628969516,0.10313541,DOGE_DFI,DFI,1760.4500751228,1986221.4379854165
18992,2021-07-05 15:00:49.693228,LTC,56714.33785740689,60.71834859,LTC_DFI,DFI,41140.17665650041,1986221.4379854165
18993,2021-07-05 15:00:49.693228,BCH,23400.0938604138,220.13739158,BCH_DFI,DFI,4741.553434591501,1986221.4379854165
18994,2021-07-05 16:00:40.748268,ETH,148298.12345246685,982.58412149,ETH_DFI,DFI,175583.73214598876,2031264.431579686
18995,2021-07-05 16:00:40.748268,BTC,414016.0157765502,14983.32056285,BTC_DFI,DFI,190182.86835905167,2031264.431579686
18996,2021-07-05 16:00:40.748268,USDT,155063.69660592996,0.44134591,USDT_DFI,DFI,243145.0788272856,2031264.431579686
18997,2021-07-05 16:00:40.748268,DOGE,8250.379684184292,0.1031354,DOGE_DFI,DFI,1492.6237684596,2031264.431579686
18998,2021-07-05 16:00:40.748268,LTC,58481.6095645524,60.66799218,LTC_DFI,DFI,41573.711644944,2031264.431579686
