,dfxBuyRoutes,dfxSellRoutes,dfxBuyVolume,dfxSellVolume,dfxBuyVolumeCHF,dfxSellVolumeCHF
2021-08-29 01:02,26.0,0.0,273.79432096527364,0.0,,
2021-08-29 02:02,26.0,0.0,273.79432096527364,0.0,,
2021-08-29 03:02,26.0,0.0,273.79432096527364,0.0,,
2021-08-29 04:02,26.0,0.0,273.79432096527364,0.0,,
2021-08-29 05:03,26.0,0.0,273.79432096527364,0.0,,
2021-08-29 06:02,26.0,0.0,273.79432096527364,0.0,,
2021-08-29 07:02,26.0,0.0,273.79432096527364,0.0,,
2021-08-29 08:02,27.0,0.0,273.79432096527364,0.0,,
2021-08-29 09:02,28.0,0.0,273.79432096527364,0.0,,
2021-08-29 10:02,28.0,0.0,273.79432096527364,0.0,,
2021-08-29 11:03,28.0,0.0,273.79432096527364,0.0,,
2021-08-29 12:02,28.0,0.0,273.79432096527364,0.0,,
2021-08-29 13:01,28.0,0.0,273.79432096527364,0.0,,
2021-08-29 14:02,28.0,0.0,273.79432096527364,0.0,,
2021-08-29 15:02,29.0,0.0,273.79432096527364,0.0,,
2021-08-29 16:01,30.0,0.0,273.79432096527364,0.0,,
2021-08-29 17:01,30.0,0.0,273.79432096527364,0.0,,
2021-08-29 18:01,34.0,0.0,273.79432096527364,0.0,,
2021-08-29 19:01,34.0,0.0,273.79432096527364,0.0,,
2021-08-29 20:01,34.0,0.0,273.79432096527364,0.0,,
2021-08-29 21:01,34.0,0.0,273.79432096527364,0.0,,
2021-08-29 22:01,34.0,0.0,273.79432096527364,0.0,,
2021-08-29 23:01,34.0,0.0,273.79432096527364,0.0,,
2021-08-30 00:07,34.0,0.0,273.79432096527364,0.0,,
2021-08-30 01:02,34.0,0.0,273.79432096527364,0.0,,
2021-08-30 02:02,34.0,0.0,273.79432096527364,0.0,,
2021-08-30 03:02,34.0,0.0,273.79432096527364,0.0,,
2021-08-30 04:02,34.0,0.0,273.79432096527364,0.0,,
2021-08-30 05:02,34.0,0.0,273.79432096527364,0.0,,
2021-08-30 06:02,34.0,0.0,273.79432096527364,0.0,,
2021-08-30 07:02,34.0,0.0,273.79432096527364,0.0,,
2021-08-30 08:02,34.0,0.0,273.79432096527364,0.0,,
2021-08-30 09:01,34.0,0.0,273.79432096527364,0.0,,
