DateHour,ETHpool_nbTrades,ETHpool_baseDFI,ETHpool_quoteDFI,ETHpool_baseETH,ETHpool_quoteETH,BTCpool_nbTrades,BTCpool_baseDFI,BTCpool_quoteDFI,BTCpool_baseBTC,BTCpool_quoteBTC,USDTpool_nbTrades,USDTpool_baseDFI,USDTpool_quoteDFI,USDTpool_baseUSDT,USDTpool_quoteUSDT,DOGEpool_nbTrades,DOGEpool_baseDFI,DOGEpool_quoteDFI,DOGEpool_baseDOGE,DOGEpool_quoteDOGE,LTCpool_nbTrades,LTCpool_baseLTC,LTCpool_quoteLTC,LTCpool_baseDFI,LTCpool_quoteDFI,BCHpool_nbTrades,BCHpool_baseBCH,BCHpool_quoteBCH,BCHpool_baseDFI,BCHpool_quoteDFI,BTC-USD,ETH-USD,USDT-USD,DOGE-USD,LTC-USD,BCH-USD,DFI-USD,USDCpool_nbTrades,USDCpool_baseDFI,USDCpool_quoteDFI,USDCpool_baseUSDC,USDCpool_quoteUSDC,USDC-USD
2020-12-08 07:00:00+00:00,1.0,1.0,,,0.00072671,1.0,1.0,,,2.379e-05,,,,,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-08 09:00:00+00:00,3.0,11000.0,9989.62868301,7.08559251,7.80426444,2.0,351.0,1000.73967031,0.024,0.00838954,1.0,,5630.57779351,2755.683658,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-08 10:00:00+00:00,2.0,,3806.26872915,2.78617288,,6.0,5480.0,1725.49522319,0.04138,0.13093914,3.0,10660.0,4406.75630905,2000.0,5055.13575094,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-08 13:00:00+00:00,1.0,,405.87193011,0.3,,3.0,2901.41207152,,,0.07037704,1.0,,5546.69454469,2655.763801,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-08 18:00:00+00:00,1.0,,4584.24975701,3.43118779,,5.0,47.8,898.93978506,0.02159207,0.0011436399999999,2.0,1097.29949674,,,532.66525731,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-08 19:00:00+00:00,1.0,461.0,,,0.34697527,12.0,10983.0,810.6819737999999,0.0194408,0.26203022,1.0,230.0,,,111.07299912,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-09 05:00:00+00:00,2.0,1.328e-05,8214.18966772,6.32148417,1e-08,3.0,13646.00154515,,,0.31999007,,,,,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-09 07:00:00+00:00,1.0,400.0,,,0.31228352,9.0,26721.11480368,5572.22250763,0.13,0.6174305499999999,2.0,1e-06,806.09281603,326.98496744,4.1000000000000004e-07,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-09 08:00:00+00:00,3.0,200.0,158.1981174,0.1238189,0.1559254,12.0,33650.0,27043.99117598,0.62513713,0.7739738300000001,1.0,,490.83977283,200.0,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-09 09:00:00+00:00,5.0,7251.0,,,5.56484017,16.0,39678.8844767,623.52963188,0.0141651,0.8983443600000002,6.0,1202.0,6818.9619736,2847.54566215,509.448776,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-09 10:00:00+00:00,6.0,20152.03,996.0079406,0.721984,14.62364852,14.0,10648.68334237,88856.05223058,2.0281,0.2384279199999999,4.0,2185.0,,,915.73836723,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-09 11:00:00+00:00,4.0,109.5,3409.31239508,2.40611982,0.0771471,8.0,1170.46409549,9344.89017455,0.2174771,0.02709337,2.0,20.0,6382.2835194,2716.069794,8.32181271,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-09 12:00:00+00:00,3.0,1045.45812921,12385.96915414,9.0,0.77270799,12.0,31413.0,187218.78677955,4.5,0.7552562100000001,5.0,30779.001,7215.77698296,2720.19024489,12289.49745061,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-09 13:00:00+00:00,3.0,1879.0,,,1.38148616,12.0,7778.5926162,6848.83699194,0.1694239799999999,0.19164888,4.0,1740.0,588.05868556,223.92840231,661.71265797,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-09 14:00:00+00:00,4.0,1480.0,,,1.08163127,14.0,3750.27768254,68538.38920743999,1.7140000000000002,0.09229778,2.0,,1561.1294577899998,597.453053,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-09 15:00:00+00:00,7.0,502.12547142,134.07244361,0.098,0.36572149,9.0,6935.02406429,395.29571861,0.01,0.17473222,6.0,10.0,8192.684951680001,3208.23779779,3.97635425,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-09 16:00:00+00:00,2.0,69.0,,,0.05022564,6.0,1507.45697211,39.59402539,0.001,0.03792549,1.0,,1248.71301603,500.0,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-09 18:00:00+00:00,3.0,2785.0,,,2.01722322,4.0,6750.0,3.95995131,0.0001,0.16956641,,,,,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-09 19:00:00+00:00,6.0,5529.0,202.39827072,0.14401902,3.948036,28.0,61290.40335574,1465.89319472,0.0363331,1.52097032,5.0,,4870.10056212,1978.89002114,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-09 20:00:00+00:00,8.0,665.6069126799999,6222.018035350001,4.45821134,0.47069622,12.0,12385.81954911,9816.88784674,0.2413464199999999,0.30342237,2.0,,5616.0624052,2340.63800633,,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
2020-12-09 21:00:00+00:00,8.0,22494.15,12738.26677645,9.052,15.93915726,14.0,17769.13236625,5861.74825816,0.1440864899999999,0.43496438,1.0,5000.0,,,2078.6970631,,,,,,,,,,,,,,,,18711.226549886927,571.1904316349736,1.0039867977335015,0.0033088226405791,80.00761328005095,281.1683584421499,0.4231821870638856,,,,,,
