,block,txId,time,type,amount
00236a9701625534883078bdc2f1945ab667eb20108df7369d819ae22b5bf58ba8b4381c9000000000,2321047,625534883078bdc2f1945ab667eb20108df7369d819ae22b5bf58ba8b4381c90,2022-10-14 09:45:21,vout,17.99000000
00236a2a01a9d24486e200ddcbd2be54bac65b70269916c649f178245adcaf7f05564509f600000000,2320938,a9d24486e200ddcbd2be54bac65b70269916c649f178245adcaf7f05564509f6,2022-10-14 08:57:35,vout,56.03301720
002369a801e1f4a31eeb8d20fd6392667c711da861b40da71faeccc95af6780ff58cc47cc500000000,2320808,e1f4a31eeb8d20fd6392667c711da861b40da71faeccc95af6780ff58cc47cc5,2022-10-14 07:48:09,vout,5999.99000000
002365d4014b9be0105b69d88f4ce45b00f32094e3f319c1d1c99907cfed342839171f9fca00000000,2319828,4b9be0105b69d88f4ce45b00f32094e3f319c1d1c99907cfed342839171f9fca,2022-10-13 23:31:05,vout,7999.99000000
002365cc0135341d00d801fdecc5ae08644177c2d71b9df7ff265fca771d196804e77bf19800000001,2319820,35341d00d801fdecc5ae08644177c2d71b9df7ff265fca771d196804e77bf198,2022-10-13 23:25:30,vout,1001.13497924
002365cc00c1ebb55f8a47f08421c1aa89a20e5116fddea3930776b3844e228e092c239b4000000000,2319820,35341d00d801fdecc5ae08644177c2d71b9df7ff265fca771d196804e77bf198,2022-10-13 23:25:30,vin,1084.99000000
002365cc00a4cb6e5eab53872172b2c218d1660488b94ec86ef70d8303e733f7b795090cdd00000000,2319820,35341d00d801fdecc5ae08644177c2d71b9df7ff265fca771d196804e77bf198,2022-10-13 23:25:30,vin,66.02497925
002365cc0065547b8a2bb87d98518413c58d30a7e656c0ec91af3a29d8f09261fecda294e300000000,2319820,35341d00d801fdecc5ae08644177c2d71b9df7ff265fca771d196804e77bf198,2022-10-13 23:25:30,vin,17.99000000
0023657a01413ead3d9bcb4ff4fdac63372d4c98caa4a022ff17c7ca44f1e160580309385a00000000,2319738,413ead3d9bcb4ff4fdac63372d4c98caa4a022ff17c7ca44f1e160580309385a,2022-10-13 22:39:28,vout,173.64728563
0023655401211845ed470b172bfcbc20ed4b72a807796b30c19dc61d12519f63dc52a8c22600000001,2319700,211845ed470b172bfcbc20ed4b72a807796b30c19dc61d12519f63dc52a8c226,2022-10-13 22:20:05,vout,139.36867920
002365540074825ecfbb2907357af4a6ed5afd237bed746c4381a842fa2aca2f3f48428c7e00000000,2319700,211845ed470b172bfcbc20ed4b72a807796b30c19dc61d12519f63dc52a8c226,2022-10-13 22:20:05,vin,292.99000000
00236554004397f0d6336c192c8a44e9865fe157fc78344d4e9c170c48f7805e79595d015b00000000,2319700,211845ed470b172bfcbc20ed4b72a807796b30c19dc61d12519f63dc52a8c226,2022-10-13 22:20:05,vin,256.99000000
00236554002244c3b70d39dd53dae2cc54da3a89e0eab2230962e013753a34a5b67b916ac600000000,2319700,211845ed470b172bfcbc20ed4b72a807796b30c19dc61d12519f63dc52a8c226,2022-10-13 22:20:05,vin,205.04467920
0023652201a15e5f49d5bcd4d9fae5d1065d8f7c17a62831e3f1d503f0041848c44d85e4dc00000000,2319650,a15e5f49d5bcd4d9fae5d1065d8f7c17a62831e3f1d503f0041848c44d85e4dc,2022-10-13 21:55:20,vout,8999.99000000
0023650f0196d8abfeb1f5f48de740e69b5124e7c7ab1070bdac7449e237c731bc11de344700000000,2319631,96d8abfeb1f5f48de740e69b5124e7c7ab1070bdac7449e237c731bc11de3447,2022-10-13 21:42:25,vout,999.99000000
00236444005d7fa809ae19fff94fa05c2b22f8dce55ced010fb61c7bf1fc6bffc54a901b2100000000,2319428,992e41979cc32d4ed9a162c3993967728e36953a113c674c5eb867c02593d0d1,2022-10-13 20:08:05,vin,31.49000000
0023644400d1ef1a4272ca6d8b8827814011fabdf7249249fe84a0673cfb7787bd8eabf84c00000000,2319428,992e41979cc32d4ed9a162c3993967728e36953a113c674c5eb867c02593d0d1,2022-10-13 20:08:05,vin,32.74000000
0023644400acf3beb35041a9e1cd18d1e498de02fc00d2c54e78236e10aa1374a1cc927d9900000000,2319428,992e41979cc32d4ed9a162c3993967728e36953a113c674c5eb867c02593d0d1,2022-10-13 20:08:05,vin,35.99000000
00236444006d9f0905d1d9a78e245929f849a64cc24ba4d8f868c9f442f94c2e44475a0df500000000,2319428,992e41979cc32d4ed9a162c3993967728e36953a113c674c5eb867c02593d0d1,2022-10-13 20:08:05,vin,65.77271287
0023644400db2df6e78932f03439bb2e005f9808412a46165fffdba032f987924128ea9b5c00000001,2319428,992e41979cc32d4ed9a162c3993967728e36953a113c674c5eb867c02593d0d1,2022-10-13 20:08:05,vin,9630.53313621
0023644401992e41979cc32d4ed9a162c3993967728e36953a113c674c5eb867c02593d0d100000001,2319428,992e41979cc32d4ed9a162c3993967728e36953a113c674c5eb867c02593d0d1,2022-10-13 20:08:05,vout,9408.52584908
0023642301003e02e256c77fbd41ab2dfb851e1c9df7575f2197e98a47f181c10dd4338fef00000000,2319395,003e02e256c77fbd41ab2dfb851e1c9df7575f2197e98a47f181c10dd4338fef,2022-10-13 19:48:31,vout,36.99000000
00236412019a86173a21db411d37ac57e1eb5242e7b0994952703baf88b35073fbc036e4e800000001,2319378,9a86173a21db411d37ac57e1eb5242e7b0994952703baf88b35073fbc036e4e8,2022-10-13 19:40:43,vout,3889.73462833
0023641200fd30c4df6468f6ba4fdc58758bd16b5ded9dc194af5a2f0095a094e13c29d30b00000001,2319378,9a86173a21db411d37ac57e1eb5242e7b0994952703baf88b35073fbc036e4e8,2022-10-13 19:40:43,vin,4644.87162833
002362fd008990f021ae7417ad91669e2a0b849147c8b9b7df32dd0565d308e5431f4001d100000000,2319101,e6c2d536b53fbdf1b95ee5ffde40af6caba89af76f0b3cceee25ae3e6abf0337,2022-10-13 17:24:25,vin,715.99000000
002362fd0032f4901bc2d1c112150f89bead8302b86bcc431b30ccda7ccfc97712db3f599800000000,2319101,e6c2d536b53fbdf1b95ee5ffde40af6caba89af76f0b3cceee25ae3e6abf0337,2022-10-13 17:24:25,vin,2747.99000000
002362fd00389273d90f3b1ae4e7a18335ee257c2c25509162a65db61c10467e39bb4846d200000000,2319101,e6c2d536b53fbdf1b95ee5ffde40af6caba89af76f0b3cceee25ae3e6abf0337,2022-10-13 17:24:25,vin,2036.23172791
002362fd003d82da4cfe91bc23e0998275cc86c0ccfec87af96ded2fe4352a66b6e0d749b500000000,2319101,e6c2d536b53fbdf1b95ee5ffde40af6caba89af76f0b3cceee25ae3e6abf0337,2022-10-13 17:24:25,vin,265.23430000
002362fd005c9e0eace6f09cba5a601a410ddc9bbf19d2ec1af7a5f9ba9c7fd5d1b5e4328a00000001,2319101,e6c2d536b53fbdf1b95ee5ffde40af6caba89af76f0b3cceee25ae3e6abf0337,2022-10-13 17:24:25,vin,10916.99588523
002362fd006826172eb07724eb78c5f64f25dede974e0ff016b6c911fca003970131cc32a500000001,2319101,e6c2d536b53fbdf1b95ee5ffde40af6caba89af76f0b3cceee25ae3e6abf0337,2022-10-13 17:24:25,vin,470.22400000
002362fd00818f58ef5e01cd8882edbaa4369fbb65fbaef482ba4947a6ef8c76c1a53d362a00000001,2319101,e6c2d536b53fbdf1b95ee5ffde40af6caba89af76f0b3cceee25ae3e6abf0337,2022-10-13 17:24:25,vin,284.99000000
002362fd0099c519c9c0b34b79cfcda63dca9e2a87f64c9b2e3285cb427fc44af8257c686b00000001,2319101,e6c2d536b53fbdf1b95ee5ffde40af6caba89af76f0b3cceee25ae3e6abf0337,2022-10-13 17:24:25,vin,142.99000000
002362fd00970d156c7c7c156df1e75e02f68f4d976a8054e50dff66c2ab787418ab68ff5d00000000,2319101,e6c2d536b53fbdf1b95ee5ffde40af6caba89af76f0b3cceee25ae3e6abf0337,2022-10-13 17:24:25,vin,65.77271287
002362fd00a34b93e84301ebb24dcff53191017fd1a2e7484b38d4a830ce4c7810dacde88d00000001,2319101,e6c2d536b53fbdf1b95ee5ffde40af6caba89af76f0b3cceee25ae3e6abf0337,2022-10-13 17:24:25,vin,109.98000000
002362fd00a40bb1e8c3409a954f16866e843d5cb18b5e8da998516bac742957b1b4a7249400000000,2319101,e6c2d536b53fbdf1b95ee5ffde40af6caba89af76f0b3cceee25ae3e6abf0337,2022-10-13 17:24:25,vin,132.66454190
002362fd00a70f40146aa7811f92324a71058bff9cf7e4b23ec3835e33a1b123b630c4c19200000000,2319101,e6c2d536b53fbdf1b95ee5ffde40af6caba89af76f0b3cceee25ae3e6abf0337,2022-10-13 17:24:25,vin,66.88178062
002362fd01e6c2d536b53fbdf1b95ee5ffde40af6caba89af76f0b3cceee25ae3e6abf033700000001,2319101,e6c2d536b53fbdf1b95ee5ffde40af6caba89af76f0b3cceee25ae3e6abf0337,2022-10-13 17:24:25,vout,9839.93494851
002362fd002815e2a7b14090851513139f69bf53977e61ea76f7622f5c870708aa7573621900000000,2319101,e6c2d536b53fbdf1b95ee5ffde40af6caba89af76f0b3cceee25ae3e6abf0337,2022-10-13 17:24:25,vin,431.99000000
002362e30119ae3d2da1be849773eeba269a69eedb9b26fb8c79bfd094a7edb94feef1fa0900000001,2319075,19ae3d2da1be849773eeba269a69eedb9b26fb8c79bfd094a7edb94feef1fa09,2022-10-13 17:12:41,vout,41.70359730
002362e300c41d05c750b99c5b02752d806167c1437f2c52610db5627abc87f5d62a0ca83d00000001,2319075,19ae3d2da1be849773eeba269a69eedb9b26fb8c79bfd094a7edb94feef1fa09,2022-10-13 17:12:41,vin,141.70359730
0023620801c3bbe9de384d3b39246db7eb6912b1c6c1d1e97e064de217df385965656d4e4b00000000,2318856,c3bbe9de384d3b39246db7eb6912b1c6c1d1e97e064de217df385965656d4e4b,2022-10-13 15:32:49,vout,999.99000000
002361e2018562ec42531b088324e90e2fff2d6ff984fe65c43847147adf2a50277527f39000000000,2318818,8562ec42531b088324e90e2fff2d6ff984fe65c43847147adf2a50277527f390,2022-10-13 15:16:47,vout,499.99000000
0023619001f55eef128c417c8ebcfa2e348d81e1c2286298972c5334d5001a3b0bc4eb797600000000,2318736,f55eef128c417c8ebcfa2e348d81e1c2286298972c5334d5001a3b0bc4eb7976,2022-10-13 14:43:59,vout,499.99000000
00236190011930657e27ee5a773a9da652828dc2efe6f65a73ae2920e065673122cdc4483b00000000,2318736,1930657e27ee5a773a9da652828dc2efe6f65a73ae2920e065673122cdc4483b,2022-10-13 14:43:59,vout,592.40165800
0023616e01da558f6148cf42b5d57c2d93129f86ff2423b1db406c39918770ea5ee96db4c100000000,2318702,da558f6148cf42b5d57c2d93129f86ff2423b1db406c39918770ea5ee96db4c1,2022-10-13 14:29:54,vout,66.11997398
002360ff01862c47481c186538ee049f0abd4f62bfaf67e99bed96ef75e2bce630b401c1c200000000,2318591,862c47481c186538ee049f0abd4f62bfaf67e99bed96ef75e2bce630b401c1c2,2022-10-13 13:26:32,vout,592.28693083
