,QuantumLiquEthereum_Cold_DFI,QuantumLiquEthereum_Cold_ETH,QuantumLiquEthereum_Cold_EUROC,QuantumLiquEthereum_Cold_USDC,QuantumLiquEthereum_Cold_USDT,QuantumLiquEthereum_Cold_WBTC,QuantumLiquEthereum_Hot_DFI,QuantumLiquEthereum_Hot_ETH,QuantumLiquEthereum_Hot_EUROC,QuantumLiquEthereum_Hot_USDC,QuantumLiquEthereum_Hot_USDT,QuantumLiquEthereum_Hot_WBTC
2023-03-16 13:01:53.362687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641173,22609.928383,2.8007,55.788823,0.00830769
2023-03-16 14:01:57.591222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641173,22609.928383,2.8007,55.788823,0.00830769
2023-03-16 15:01:37.469324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641173,22609.928383,2.8007,55.788823,0.00830769
2023-03-16 16:01:44.265546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.00641173,22609.928383,2.8007,55.788823,0.00830769
2023-03-16 17:01:31.223957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.00641173,22609.928383,2.8007,80.788823,0.00830769
2023-03-16 18:01:38.709154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.01149173,22619.943383,2.8007,80.788823,0.00830769
2023-03-16 19:01:27.825707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.01149173,22619.943383,2.8007,80.788823,0.01040769
2023-03-16 20:01:48.444029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.01149173,22619.943383,2.8007,80.788823,0.01040769
2023-03-16 21:02:34.290361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39335173,22619.943383,2.8007,80.788823,0.01040769
2023-03-16 22:01:37.924919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39335173,22619.943383,2.8007,80.788823,0.01040769
2023-03-16 23:01:46.234277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39335173,22619.943383,2.8007,80.788823,0.01040769
2023-03-17 00:04:26.286734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39335173,22619.943383,2.8007,80.788823,0.01040769
2023-03-17 01:02:00.990826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39335173,22619.943383,2.8007,80.788823,0.01040769
2023-03-17 02:01:54.597589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39335173,22619.943383,2.8007,80.788823,0.01040769
2023-03-17 03:01:46.447284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39335173,22619.943383,2.8007,80.788823,0.01040769
2023-03-17 04:02:39.465094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39335173,619.9433829999999,2.8007,80.788823,0.01040769
2023-03-17 05:02:24.593711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39335173,619.9433829999999,2.8007,80.788823,0.01040769
2023-03-17 06:02:00.534573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39335173,619.9433829999999,2.8007,80.788823,0.01040769
2023-03-17 07:02:24.350932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39335173,619.9433829999999,2.8007,80.788823,0.01043769
2023-03-17 08:02:06.564583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39335173,619.9433829999999,2.8007,80.788823,1.01093769
2023-03-17 09:02:12.385214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39335173,2032.975253,2.8007,80.788823,1.01093769
2023-03-17 10:01:59.194593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39335173,2288.155253,2.8007,80.788823,1.01093769
2023-03-17 11:01:50.709169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.49562173,4288.155253,2.8007,80.788823,1.01093769
2023-03-17 12:02:15.394572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.49562173,6288.155253,2.8007,678.084963,1.01093769
2023-03-17 13:01:58.023397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59562173,6288.155253,2.8007,678.084963,1.01093769
2023-03-17 14:01:59.022153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59562173,6288.155253,2.8007,678.084963,1.01093769
2023-03-17 15:01:42.171731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59562173,306.155253,2.8007,678.084963,1.01093769
2023-03-17 16:01:44.181654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59562173,306.155253,2.8007,678.084963,1.01093769
2023-03-17 17:01:28.631414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59562173,306.155253,2.8007,678.084963,1.01093769
2023-03-17 18:01:44.299885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.19682173,306.155253,2.8007,678.084963,1.01093769
2023-03-17 19:01:24.996618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.19682173,306.155253,2.8007,678.084963,1.01093769
2023-03-17 20:01:46.337038,0.0,0.0,102420.0,0.0,0.0,0.0,0.0,9.19682173,306.155253,2.8007,678.084963,1.01093769
2023-03-17 21:02:15.270554,0.0,0.0,102420.0,0.0,0.0,0.0,0.0,8.947871730000001,306.15525299999996,2.8007,678.084963,1.01093769
