date,nbMnId,nbOtherId,fundDFI,mnDFI,otherDFI,foundationDFI,nbMnGenesisId,mnGenesisDFI,nbMnCakeId,mnCakeDFI,erc20DFI,burnedDFI,tokenDFI,nbMydefichainId,mnMydefichainDFI,nbMNlocked10,nbMNlocked5
2020-11-05,303,3763,5299887.52545888,311802830.44503987,65020967.73703124,285584344.49247,2,1054965.06133196,,,,,,,,,
2020-11-06,303,3818,5345160.02545888,311863985.4908794,65266637.69119172,285584344.49247,2,1057125.06141756,,,,,,,,,
2020-11-07,303,3873,5390850.42545888,311920955.5662246,65519227.61584652,285584344.49247,2,1058475.06163732,,,,,,,,,
2020-11-08,303,3938,5450013.12545888,312001550.60617113,65839987.57589995,285584344.49247,2,1061715.06163732,,,,,,,,,
2020-11-09,304,3994,5505394.82545888,312069320.6159148,66147822.56615627,285584344.49247,3,1064415.0620522,,,,,,,,,
2020-11-10,303,4011,5528100.72545888,312100775.6253309,66270302.5567402,285584344.49247,2,1065225.0620522,,,,,,,,,
2020-11-11,303,4063,5573800.32535888,312152210.63486886,66529957.54730222,285584344.49247,2,1067790.0620522,,,,,,,,,
2020-11-12,303,4114,5619450.92535888,312180830.6351408,66810927.54703032,285584344.49247,2,1070625.0620522,,,,,,,,,
2020-11-13,303,4156,5664942.32535888,312229430.66590744,67070937.51626367,285584344.49247,2,1071705.0620522,,,,,,,,,
2020-11-14,303,4202,5710413.82535888,312283430.6896225,67325412.49254856,285584344.49247,2,1073325.0620522,,,,,,,,,
2020-11-15,304,4244,5756760.92535888,312343235.6905585,67579887.49161263,285584344.49247,3,1075215.0620522,,,,,,,,,
2020-11-16,304,4282,5802690.12535888,312401150.69192314,67833687.49024792,285584344.49247,3,1076835.0620522,,,,,,,,,
2020-11-17,303,4321,5848917.82535888,312461360.7179771,68086982.46419403,285584344.49247,2,1077510.0620522,,,,,,,,,
2020-11-18,304,4363,5895264.92535888,312522245.7190578,68340112.46311332,285584344.49247,3,1079535.0620522,,,,,,,,,
2020-11-19,304,4405,5940597.12535888,312580160.72844166,68589727.45372945,285584344.49247,3,1080885.0620522,,,,,,,,,
2020-11-20,303,4461,5987123.32535888,312642260.745767,68843057.43640414,285584344.49247,2,1083315.0621038,,,,,,,,,
2020-11-21,304,4486,6032057.52535888,312699365.75523245,69090647.42693865,285584344.49247,3,1084935.06218402,,,,,,,,,
2020-11-22,304,4522,6078504.12535888,312762815.75575113,69349442.42644075,285584344.49247,3,1087095.06225382,,,,,,,,,
2020-11-23,304,4559,6124612.42535888,312822350.7826922,69595682.39947891,285584344.49247,3,1089255.06225382,,,,,,,,,
2020-11-24,303,4595,6170223.22535888,312885800.7845229,69841652.39764816,285584344.49247,2,1091550.06225382,,,,,,,,,
2020-11-25,303,4641,6216669.82535888,312939125.7941054,70103417.3880657,285584344.49247,2,1094115.06225382,,,,,,,,,
2020-11-26,304,4692,6262977.12535888,312999200.82131827,70357217.36085288,285584344.49247,3,1096680.06225382,,,,,,,,,
2020-11-28,304,4785,6354755.92535888,313122050.8495785,70856957.33259259,285584344.49247,3,1102080.06233404,,,,,,,,,
2020-11-29,304,4824,6401361.72535888,313178210.8587226,71116697.3234485,285584344.49247,3,1104510.062455,,,,,,,,,
2020-12-03,303,5338,6560880.12535888,313841331.5766419,67401336.3495684,285584344.49247,3,1114770.06984998,,,,,,,,,
2020-12-04,303,5565,6629216.72535888,314303032.6603606,67309519.44571713,285584344.49247,3,1119900.08278223,,,,,,,,,
2020-12-05,303,5670,6674150.92535888,314606783.19600666,67148764.13297537,285584344.49247,3,1123275.0855730302,,,,,,,,,
2020-12-06,303,5757,6720259.22535888,314919038.737874,67080705.28225628,285584344.49247,3,1126245.08774796,,,,,,,,,
2020-12-07,303,5866,6767282.92535888,315237504.2158339,65806109.55394597,285584344.49247,3,1129350.08992704,,,,,,,,,
2020-12-08,303,5949,6812754.42535888,313688106.64731205,67389452.10193512,285584344.49247,2,1125165.08571125,,,,,,,,,
2020-12-09,303,6065,6858922.42535888,313761816.7730411,67217152.33869751,285584344.49247,3,1127595.12381323,,,,,,,,,
2020-12-10,303,6232,6899219.92535888,313809067.1678395,63527472.262322254,285584344.49247,2,1130160.1273759,,,,,,,,,
2020-12-11,303,6467,6937368.22535888,313849432.30264926,63733706.48585179,285584344.49247,2,1131915.12965337,,,,,,,,,
2020-12-12,303,6656,6982083.52535888,313847677.31987685,63668875.9316048,285584344.49247,2,1131915.12965337,,,,,,,,,
2020-12-13,303,6739,7027833.62535888,313852537.31953025,63860323.05880164,285584344.49247,2,1131915.12965337,,,,,,,,,
2020-12-14,303,6924,7073723.02535888,313852537.2894045,64081243.18309041,285584344.49247,2,1131915.12965337,,,,,,,,,
2020-12-15,303,7084,7119572.62535888,313848217.29654145,64413143.55125068,285584344.49247,2,1131915.12965337,,,,,,,,,
2020-12-16,303,7381,7165581.42535888,313851187.3505789,64192688.1865523,285584344.49247,2,1131915.12965337,,,,,,,,,
2020-12-17,303,8057,7212764.32535888,313891823.08892584,64180920.11590845,285584344.49247,2,1133535.15839845,,,,,,,,,
2020-12-18,303,8539,7258454.72535888,313948118.9457916,63957964.18324498,285584344.49247,2,1136100.1887375,,,,,,,,,
2020-12-19,303,8896,7304881.42535888,314010219.7286124,61834550.87075858,285584344.49247,2,1138530.22048379,,,,,,,,,
2020-12-20,303,9188,7350472.32535888,314066110.03876,61871089.5306444,285584344.49247,3,1140555.23102966,,,,,,,,,
2020-12-21,303,9435,7396640.32535888,314126185.3709184,62058312.06107932,285584344.49247,3,1142985.23777011,,,,,,,,,
2020-12-22,303,9794,7442529.72535888,314191795.97995985,62020126.49088624,285584344.49247,2,1144335.26607844,,,,,,,,,
2020-12-23,303,10143,7487822.12535888,314251736.4908252,62342432.65280876,285584344.49247,2,1147170.28053177,,,,,,,,,
2020-12-24,303,10305,7532517.52635888,314308842.14339006,62630004.3904829,285584344.49346995,3,1149600.2947217398,,,,,,,,,
2020-12-25,303,10386,7579003.92635888,314363517.5428729,62924820.556559294,285584344.49346995,2,1152435.29793437,,,,,,,,,
2020-12-26,303,10485,7623201.82635888,314424133.7301947,63852175.25066967,285584344.49346995,2,1154460.3036001502,,,,,,,,,
2020-12-28,303,10604,7715557.72635888,314536724.8238734,65673465.44837638,285584344.49346995,3,1158645.38251457,,,,,,,,,
2020-12-29,303,10612,7762442.12635888,314595180.60572153,65899872.60541957,285584344.49346995,3,1160535.40592015,,,,,,,,,
2020-12-30,303,10761,7806918.62635888,314650801.28036773,65869219.507895455,285584344.49346995,2,1162155.42457783,,,,,,,,,
2020-12-31,303,10789,7852947.32635888,314702236.9044255,66007190.91062553,285584344.49346995,2,1162965.4251351,,,,,,,,,
2021-01-01,303,10857,7897244.72635888,314762312.41698015,66261387.44290012,285584344.49346995,3,1164720.44888315,,,,,,,,,
2021-01-02,303,10874,7942616.72635888,314815772.7534907,66460193.16475059,285584344.49346995,2,1166475.4499617498,,,,,,,,,
2021-01-03,303,10982,7989202.62635888,314872743.201457,66635779.50604847,285584344.49346995,2,1167285.4565911,,,,,,,,,
2021-01-04,303,11100,8035569.62635888,314925933.65406346,66867237.55793483,285584344.49346995,2,1168230.4578429,,,,,,,,,
2021-01-05,303,11212,8082115.72635888,314980879.2165985,67279502.39169392,285584344.49346995,2,1169850.48225602,,,,,3092292.53713601,,,,
2021-01-06,303,11261,8127666.82635888,315042574.80454195,67700412.3942372,285584344.49346995,2,1171470.52764957,,,,,2831598.18980312,,,,
2021-01-07,303,11357,8173814.92635888,315103055.308922,67962527.16595826,285584344.49346995,2,1172955.54963827,,,,,2903061.93634272,,,,
2021-01-08,303,11433,8220002.82635888,315162725.8957989,68159266.60305461,285584344.49346995,2,1172955.54963827,,,,,2840483.90245631,,,,
2021-01-09,303,11472,8265136.02635888,315249937.3616159,68519827.41521707,285584344.49346995,2,1181055.68329708,,,,,2661998.7280456102,,,,
2021-01-10,303,11495,8310906.02635888,315294488.0188001,68970806.0110588,285584344.49346995,2,1183890.73731692,,,,,2621202.19530022,,,,
2021-01-11,303,11596,8356775.52635888,315352808.9621192,69227559.75262769,285584344.49346995,2,1185510.75421849,,,,,2668210.7115327497,,,,
2021-01-12,303,11559,8401888.82635888,315411129.904016,69613751.32880685,285584344.49346995,3,1189155.82582298,,,,,2627182.8197124694,,,,
2021-01-13,303,11641,8448036.92635888,315464320.6648025,70145265.960429,285584344.49346995,2,1190775.85050415,,,,,2556091.0181218195,,,,
2021-01-14,303,11763,8494423.82635888,315517106.5948682,70721095.49204464,285584344.49346995,3,1192395.89841557,,,,,2624711.1227561603,,,,
2021-01-15,303,11916,8541029.62635888,315494426.8482339,71385628.8147579,285584344.49346995,2,1193610.90390222,,,,,2619866.09759538,,,,
2021-01-16,303,12009,8576012.79608917,315546807.62171507,71765921.85364704,285584344.49346995,2,1195905.9181982,,,,,2509684.99620315,,,,
2021-01-17,303,12078,8622917.09608917,315604858.1303868,72216561.09188336,285584344.49346995,2,1198470.9238796,,,,,2492964.5787022505,,,,
2021-01-18,303,12142,8670000.49608917,315663178.55832505,72497757.20827702,285584344.49346995,2,1201035.9395483402,,,,,2301065.83578586,,,,
2021-01-19,303,12200,8716367.49608917,315717854.1501762,72781777.78452286,285584344.49346995,3,1203465.9424929398,,,,,2325271.26376215,,,,
2021-01-20,303,12288,8761679.79608917,315773474.518085,73080564.02303095,285584344.49346995,2,1205490.98987458,,,,,2101589.01040947,,,,
2021-01-21,303,12386,8806872.69608917,315827879.9104451,73434315.16627519,285584344.49346995,3,1208055.99511073,,,,,2123018.1280798805,,,,
2021-01-22,303,12505,8852244.69608917,315888765.43385834,73720298.39707872,285584344.49346995,2,1210486.01179774,,,,,2247713.5583176697,,,,
2021-01-23,303,12453,8898651.49608917,315943035.72790915,73924913.29441738,285584344.49346995,3,1212511.0361529298,,,,,2370514.4435242303,,,,
2021-01-24,303,12490,8945356.79608917,316006351.2225493,73989886.98843724,285584344.49346995,3,1214941.04560456,,,,,2488229.656517571,,,,
2021-01-25,303,12442,8990828.29608917,316061701.7624677,74188506.52995758,285584344.49346995,2,1216561.06215898,,,,,2507238.234872709,,,,
2021-01-26,303,12514,9036538.59608917,316241659.0693488,78495884.34546451,273714000.0009,3,1218721.08454347,,,,,10220380.21199549,,,,
2021-01-27,303,12472,9081393.19608917,316545277.14476275,78571020.94062959,273714000.0009,3,1221151.09182897,,,,,9991367.989408908,,,,
2021-01-28,303,12468,9127700.49608917,316858345.70538294,74368489.1554813,273714000.0009,3,1224661.11945443,,,,,14113926.85311425,,,,
2021-01-29,303,12456,9172873.49608917,316435926.16043806,75022432.89758283,273714000.0009,3,1223716.1348751895,,,,,13940617.89308115,,,,
2021-01-30,303,12487,9217847.49608917,316336025.04030126,75271798.63510199,273714000.0009,2,1225876.18915565,,,,,13702839.50344811,,,,
2021-01-31,303,12529,9264234.39608917,316396641.261238,75446849.92493112,273714000.0009,3,1228306.2139354695,,,,,13562064.65370336,,,,
2021-02-01,303,12495,9310362.59608917,316449157.37775815,75594494.26543269,273714000.0009,2,1230061.24194223,,,,,13447352.26151076,,,,
2021-02-02,303,12498,9357067.89608917,316514093.49635696,74721994.31034806,273714000.0009,3,1232491.26749716,,,,,14307759.503550695,,,,
2021-02-03,303,12604,9402738.39608917,316570794.6140065,74736780.31151462,273714000.0009,3,1235596.35262343,,,,,14124767.62490238,,,,
2021-02-04,303,12650,9448747.19608917,316629385.49137425,75131529.22065255,273714000.0009,2,1238296.3942995002,,,,,14053299.91174399,,,,
2021-02-05,303,12735,9495094.29608917,316683251.43766385,75365300.24827665,273714000.0009,2,1240186.42537902,,,,,14029422.327966472,,,,
2021-02-06,303,12831,9538376.79608917,316798813.141831,75544413.48089492,273714000.0009,2,1252201.61444313,,,,,13376899.776655355,,,,
2021-02-07,303,12920,9584027.39608917,316862398.9315419,75812978.14295074,273714000.0009,2,1252201.61444313,,,,,13306804.11559246,,,,
2021-02-08,303,12999,9629518.79608917,316917749.8253224,76114151.507856,273714000.0009,2,1253551.63521249,,,,,13193726.3696545,,,,
2021-02-09,303,13052,9675547.49608917,316976881.0710811,76236520.15861306,273714000.0009,2,1255036.69797177,,,,,13101324.204799782,,,,
2021-02-10,303,13094,9722670.69608917,317030207.04837525,76490675.00819048,273714000.0009,2,1256656.73727625,,,,,13043913.26290008,,,,
2021-02-11,303,13147,9768639.69608917,317088393.0351592,76822461.74823067,273714000.0009,3,1258816.74940998,,,,,12956384.8966753,,,,
2021-02-12,303,13276,9814150.99608917,317144148.817353,76972710.36097077,273714000.0009,2,1260841.77547563,,,,,12892105.372790452,,,,
2021-02-13,303,13351,9860915.99608917,317200849.60319805,77096945.63757911,273714000.0009,3,1262731.78774024,,,,,12602865.528668638,,,,
2021-02-14,303,13412,9907481.99608917,317264165.3647733,77302897.48601313,273714000.0009,3,1263811.7924532,,,,,12395073.299926909,,,,
2021-02-15,303,13525,9954187.29608917,317320865.9515298,77536754.72720437,273714000.0009,3,1266241.80674217,,,,,12343902.33776957,,,,
2021-02-16,303,13743,9996952.39608917,317372576.9068084,77627583.22437643,273714000.0009,2,1267996.86214571,,,,,12276637.84656812,,,,
2021-02-17,303,13633,10043100.49608917,317426305.6549952,77757535.06534694,273714000.0009,2,1267996.86214571,,,,,12194537.84283482,,,,
2021-02-18,303,13738,10088392.89608917,317487461.49966943,77908461.83073789,273714000.0009,2,1267996.86214571,,,,,12138523.06843702,,,,
2021-02-19,303,13795,10134341.99608917,317546457.211388,77995593.14113668,273714000.0009,2,1267996.86214571,,,,,12117565.97060232,,,,
2021-02-20,303,13828,10178699.09608917,317600998.0323387,78236261.86691079,273714000.0009,2,1267996.86214571,,,,,12003623.013134977,,,,
2021-02-21,303,13929,10224687.99608917,317661073.87751514,78475942.93081616,273714000.0009,2,1267996.86214571,,,,,11977446.65983597,,,,
2021-02-22,303,14039,10270059.99608917,317716154.4604509,78577393.15820563,273714000.0009,2,1267996.86214571,,,,,11854806.87295233,,,,
2021-02-23,303,14127,10315829.99608917,317774205.31419635,78709808.48683009,273714000.0009,2,1267996.86214571,,,,,11804399.24606296,,,,
2021-02-24,303,14225,10362774.09608917,317831581.0302961,78998693.30913618,273714000.0009,2,1267996.86214571,,,,,11992569.984497182,,,,
2021-02-25,303,14302,10406454.59608917,317895166.75287855,79188783.98785305,273714000.0009,2,1267996.86214571,,,,,11915122.26984833,,,,
2021-02-26,304,14398,10453717.09608917,317962937.8277509,79267764.14731187,273714000.0009,3,1268941.92213096,,,,,11901749.53529856,,,,
2021-02-27,303,14512,10499148.79608917,318031383.63583857,79455612.51840892,273714000.0009,2,1270156.94544552,,,,,11736434.697412102,,,,
2021-02-28,303,14581,10544620.29608917,318086059.3990867,79833246.12023896,273714000.0009,2,1271776.96565037,,,,,11363879.63905331,,,,
2021-03-01,303,14692,10589454.99608917,318136415.0353335,79621075.60182986,273714000.0009,2,1272856.97905765,,,500000.0,0.0,11241051.76207254,,,,
